REGION,TECHNOLOGY,FUEL,MODE_OF_OPERATION,YEAR,VALUE
Globe,ALUPLANT,ALU,1,2048,28.6577
Globe,ALUPLANT,ALU,1,2049,28.8302
Globe,ALUPLANT,ALU,1,2050,29.0026
Globe,ALUPLANT,ALU,1,2051,29.0026
Globe,ALUPLANT,ALU,1,2052,29.0026
Globe,ALUPLANT,ALU,1,2053,29.0026
Globe,ALUPLANT,ALU,1,2054,29.0026
Globe,ALUPLANT,ALU,1,2055,29.0026
Globe,ALUPLANT,ALU,1,2056,29.0026
Globe,ALUPLANT,ALU,1,2057,29.0026
Globe,ALUPLANT,ALU,1,2058,29.0026
Globe,ALUPLANT,ALU,1,2059,29.0026
Globe,ALUPLANT,ALU,1,2060,29.0026
Globe,ALUPLANT,ALU,1,2061,29.0026
Globe,ALUPLANT,ALU,1,2062,29.0026
Globe,ALUPLANT,ALU,1,2063,29.0026
Globe,ALUPLANT,ALU,1,2064,29.0026
Globe,ALUPLANT,ALU,1,2065,29.0026
Globe,ALUPLANT,ALU,1,2066,29.0026
Globe,ALUPLANT,ALU,1,2067,29.0026
Globe,ALUPLANT,ALU,1,2068,29.0026
Globe,ALUPLANT,ALU,1,2069,29.0026
Globe,ALUPLANT,ALU,1,2070,29.0026
Globe,C1BFRDF00,C1_F_RD,1,2010,1.0
Globe,C1BFRDF00,C1_F_RD,1,2011,1.0
Globe,C1BFRDF00,C1_F_RD,1,2012,1.0
Globe,C1BFRDF00,C1_F_RD,1,2013,1.0
Globe,C1BFRDF00,C1_F_RD,1,2014,1.0
Globe,C1BFRDF00,C1_F_RD,1,2015,1.0
Globe,C1BFRDF00,C1_F_RD,1,2016,1.0
Globe,C1BFRDF00,C1_F_RD,1,2017,1.0
Globe,C1BFRDF00,C1_F_RD,1,2018,1.0
Globe,C1BFRDF00,C1_F_RD,1,2019,1.0
Globe,C1BFRDF00,C1_F_RD,1,2020,1.0
Globe,C1BFRDF00,C1_F_RD,1,2021,1.0
Globe,C1BFRDF00,C1_F_RD,1,2022,1.0
Globe,C1BFRDF00,C1_F_RD,1,2023,1.0
Globe,C1BFRDF00,C1_F_RD,1,2024,1.0
Globe,C1BFRDF00,C1_F_RD,1,2025,1.0
Globe,C1BFRDF00,C1_F_RD,1,2026,1.0
Globe,C1BFRDF00,C1_F_RD,1,2027,1.0
Globe,C1BFRDF00,C1_F_RD,1,2028,1.0
Globe,C1BFRDF00,C1_F_RD,1,2029,1.0
Globe,C1BFRDF00,C1_F_RD,1,2030,1.0
Globe,C1BFRDF00,C1_F_RD,1,2031,1.0
Globe,C1BFRDF00,C1_F_RD,1,2032,1.0
Globe,C1BFRDF00,C1_F_RD,1,2033,1.0
Globe,C1BFRDF00,C1_F_RD,1,2034,1.0
Globe,C1BFRDF00,C1_F_RD,1,2035,1.0
Globe,C1BFRDF00,C1_F_RD,1,2036,1.0
Globe,C1BFRDF00,C1_F_RD,1,2037,1.0
Globe,C1BFRDF00,C1_F_RD,1,2038,1.0
Globe,C1BFRDF00,C1_F_RD,1,2039,1.0
Globe,C1BFRDF00,C1_F_RD,1,2040,1.0
Globe,C1BFRDF00,C1_F_RD,1,2041,1.0
Globe,C1BFRDF00,C1_F_RD,1,2042,1.0
Globe,C1BFRDF00,C1_F_RD,1,2043,1.0
Globe,C1BFRDF00,C1_F_RD,1,2044,1.0
Globe,C1BFRDF00,C1_F_RD,1,2045,1.0
Globe,C1BFRDF00,C1_F_RD,1,2046,1.0
Globe,C1BFRDF00,C1_F_RD,1,2047,1.0
Globe,C1BFRDF00,C1_F_RD,1,2048,1.0
Globe,C1BFRDF00,C1_F_RD,1,2049,1.0
Globe,C1BFRDF00,C1_F_RD,1,2050,1.0
Globe,C1BFRDF00,C1_F_RD,1,2051,1.0
Globe,C1BFRDF00,C1_F_RD,1,2052,1.0
Globe,C1BFRDF00,C1_F_RD,1,2053,1.0
Globe,C1BFRDF00,C1_F_RD,1,2054,1.0
Globe,C1BFRDF00,C1_F_RD,1,2055,1.0
Globe,C1BFRDF00,C1_F_RD,1,2056,1.0
Globe,C1BFRDF00,C1_F_RD,1,2057,1.0
Globe,C1BFRDF00,C1_F_RD,1,2058,1.0
Globe,C1BFRDF00,C1_F_RD,1,2059,1.0
Globe,C1BFRDF00,C1_F_RD,1,2060,1.0
Globe,C1BFRDF00,C1_F_RD,1,2061,1.0
Globe,C1BFRDF00,C1_F_RD,1,2062,1.0
Globe,C1BFRDF00,C1_F_RD,1,2063,1.0
Globe,C1BFRDF00,C1_F_RD,1,2064,1.0
Globe,C1BFRDF00,C1_F_RD,1,2065,1.0
Globe,C1BFRDF00,C1_F_RD,1,2066,1.0
Globe,C1BFRDF00,C1_F_RD,1,2067,1.0
Globe,C1BFRDF00,C1_F_RD,1,2068,1.0
Globe,C1BFRDF00,C1_F_RD,1,2069,1.0
Globe,C1BFRDF00,C1_F_RD,1,2070,1.0
Globe,C1BMBRFH1,C1_F_HEA_R,1,2010,1.0
Globe,C1BMBRFH1,C1_F_HEA_R,1,2011,1.0
Globe,C1BMBRFH1,C1_F_HEA_R,1,2012,1.0
Globe,C1BMBRFH1,C1_F_HEA_R,1,2013,1.0
Globe,C1BMBRFH1,C1_F_HEA_R,1,2014,1.0
Globe,C1BMBRFH1,C1_F_HEA_R,1,2015,1.0
Globe,C1BMBRFH1,C1_F_HEA_R,1,2016,1.0
Globe,C1BMBRFH1,C1_F_HEA_R,1,2017,1.0
Globe,C1BMBRFH1,C1_F_HEA_R,1,2018,1.0
Globe,C1BMBRFH1,C1_F_HEA_R,1,2019,1.0
Globe,C1BMBRFH1,C1_F_HEA_R,1,2020,1.0
Globe,C1BMBRFH1,C1_F_HEA_R,1,2021,1.0
Globe,C1BMBRFH1,C1_F_HEA_R,1,2022,1.0
Globe,C1BMBRFH1,C1_F_HEA_R,1,2023,1.0
Globe,C1BMBRFH1,C1_F_HEA_R,1,2024,1.0
Globe,C1BMBRFH1,C1_F_HEA_R,1,2025,1.0
Globe,C1BMBRFH1,C1_F_HEA_R,1,2026,1.0
Globe,C1BMBRFH1,C1_F_HEA_R,1,2027,1.0
Globe,C1BMBRFH1,C1_F_HEA_R,1,2028,1.0
Globe,C1BMBRFH1,C1_F_HEA_R,1,2029,1.0
Globe,C1BMBRFH1,C1_F_HEA_R,1,2030,1.0
Globe,C1BMBRFH1,C1_F_HEA_R,1,2031,1.0
Globe,C1BMBRFH1,C1_F_HEA_R,1,2032,1.0
Globe,C1BMBRFH1,C1_F_HEA_R,1,2033,1.0
Globe,C1BMBRFH1,C1_F_HEA_R,1,2034,1.0
Globe,C1BMBRFH1,C1_F_HEA_R,1,2035,1.0
Globe,C1BMBRFH1,C1_F_HEA_R,1,2036,1.0
Globe,C1BMBRFH1,C1_F_HEA_R,1,2037,1.0
Globe,C1BMBRFH1,C1_F_HEA_R,1,2038,1.0
Globe,C1BMBRFH1,C1_F_HEA_R,1,2039,1.0
Globe,C1BMBRFH1,C1_F_HEA_R,1,2040,1.0
Globe,C1BMBRFH1,C1_F_HEA_R,1,2041,1.0
Globe,C1BMBRFH1,C1_F_HEA_R,1,2042,1.0
Globe,C1BMBRFH1,C1_F_HEA_R,1,2043,1.0
Globe,C1BMBRFH1,C1_F_HEA_R,1,2044,1.0
Globe,C1BMBRFH1,C1_F_HEA_R,1,2045,1.0
Globe,C1BMBRFH1,C1_F_HEA_R,1,2046,1.0
Globe,C1BMBRFH1,C1_F_HEA_R,1,2047,1.0
Globe,C1BMBRFH1,C1_F_HEA_R,1,2048,1.0
Globe,C1BMBRFH1,C1_F_HEA_R,1,2049,1.0
Globe,C1BMBRFH1,C1_F_HEA_R,1,2050,1.0
Globe,C1BMBRFH1,C1_F_HEA_R,1,2051,1.0
Globe,C1BMBRFH1,C1_F_HEA_R,1,2052,1.0
Globe,C1BMBRFH1,C1_F_HEA_R,1,2053,1.0
Globe,C1BMBRFH1,C1_F_HEA_R,1,2054,1.0
Globe,C1BMBRFH1,C1_F_HEA_R,1,2055,1.0
Globe,C1BMBRFH1,C1_F_HEA_R,1,2056,1.0
Globe,C1BMBRFH1,C1_F_HEA_R,1,2057,1.0
Globe,C1BMBRFH1,C1_F_HEA_R,1,2058,1.0
Globe,C1BMBRFH1,C1_F_HEA_R,1,2059,1.0
Globe,C1BMBRFH1,C1_F_HEA_R,1,2060,1.0
Globe,C1BMBRFH1,C1_F_HEA_R,1,2061,1.0
Globe,C1BMBRFH1,C1_F_HEA_R,1,2062,1.0
Globe,C1BMBRFH1,C1_F_HEA_R,1,2063,1.0
Globe,C1BMBRFH1,C1_F_HEA_R,1,2064,1.0
Globe,C1BMBRFH1,C1_F_HEA_R,1,2065,1.0
Globe,C1BMBRFH1,C1_F_HEA_R,1,2066,1.0
Globe,C1BMBRFH1,C1_F_HEA_R,1,2067,1.0
Globe,C1BMBRFH1,C1_F_HEA_R,1,2068,1.0
Globe,C1BMBRFH1,C1_F_HEA_R,1,2069,1.0
Globe,C1BMBRFH1,C1_F_HEA_R,1,2070,1.0
Globe,C1BMBRFN1,C1_F_HEA_R,1,2010,1.0
Globe,C1BMBRFN1,C1_F_HEA_R,1,2011,1.0
Globe,C1BMBRFN1,C1_F_HEA_R,1,2012,1.0
Globe,C1BMBRFN1,C1_F_HEA_R,1,2013,1.0
Globe,C1BMBRFN1,C1_F_HEA_R,1,2014,1.0
Globe,C1BMBRFN1,C1_F_HEA_R,1,2015,1.0
Globe,C1BMBRFN1,C1_F_HEA_R,1,2016,1.0
Globe,C1BMBRFN1,C1_F_HEA_R,1,2017,1.0
Globe,C1BMBRFN1,C1_F_HEA_R,1,2018,1.0
Globe,C1BMBRFN1,C1_F_HEA_R,1,2019,1.0
Globe,C1BMBRFN1,C1_F_HEA_R,1,2020,1.0
Globe,C1BMBRFN1,C1_F_HEA_R,1,2021,1.0
Globe,C1BMBRFN1,C1_F_HEA_R,1,2022,1.0
Globe,C1BMBRFN1,C1_F_HEA_R,1,2023,1.0
Globe,C1BMBRFN1,C1_F_HEA_R,1,2024,1.0
Globe,C1BMBRFN1,C1_F_HEA_R,1,2025,1.0
Globe,C1BMBRFN1,C1_F_HEA_R,1,2026,1.0
Globe,C1BMBRFN1,C1_F_HEA_R,1,2027,1.0
Globe,C1BMBRFN1,C1_F_HEA_R,1,2028,1.0
Globe,C1BMBRFN1,C1_F_HEA_R,1,2029,1.0
Globe,C1BMBRFN1,C1_F_HEA_R,1,2030,1.0
Globe,C1BMBRFN1,C1_F_HEA_R,1,2031,1.0
Globe,C1BMBRFN1,C1_F_HEA_R,1,2032,1.0
Globe,C1BMBRFN1,C1_F_HEA_R,1,2033,1.0
Globe,C1BMBRFN1,C1_F_HEA_R,1,2034,1.0
Globe,C1BMBRFN1,C1_F_HEA_R,1,2035,1.0
Globe,C1BMBRFN1,C1_F_HEA_R,1,2036,1.0
Globe,C1BMBRFN1,C1_F_HEA_R,1,2037,1.0
Globe,C1BMBRFN1,C1_F_HEA_R,1,2038,1.0
Globe,C1BMBRFN1,C1_F_HEA_R,1,2039,1.0
Globe,C1BMBRFN1,C1_F_HEA_R,1,2040,1.0
Globe,C1BMBRFN1,C1_F_HEA_R,1,2041,1.0
Globe,C1BMBRFN1,C1_F_HEA_R,1,2042,1.0
Globe,C1BMBRFN1,C1_F_HEA_R,1,2043,1.0
Globe,C1BMBRFN1,C1_F_HEA_R,1,2044,1.0
Globe,C1BMBRFN1,C1_F_HEA_R,1,2045,1.0
Globe,C1BMBRFN1,C1_F_HEA_R,1,2046,1.0
Globe,C1BMBRFN1,C1_F_HEA_R,1,2047,1.0
Globe,C1BMBRFN1,C1_F_HEA_R,1,2048,1.0
Globe,C1BMBRFN1,C1_F_HEA_R,1,2049,1.0
Globe,C1BMBRFN1,C1_F_HEA_R,1,2050,1.0
Globe,C1BMBRFN1,C1_F_HEA_R,1,2051,1.0
Globe,C1BMBRFN1,C1_F_HEA_R,1,2052,1.0
Globe,C1BMBRFN1,C1_F_HEA_R,1,2053,1.0
Globe,C1BMBRFN1,C1_F_HEA_R,1,2054,1.0
Globe,C1BMBRFN1,C1_F_HEA_R,1,2055,1.0
Globe,C1BMBRFN1,C1_F_HEA_R,1,2056,1.0
Globe,C1BMBRFN1,C1_F_HEA_R,1,2057,1.0
Globe,C1BMBRFN1,C1_F_HEA_R,1,2058,1.0
Globe,C1BMBRFN1,C1_F_HEA_R,1,2059,1.0
Globe,C1BMBRFN1,C1_F_HEA_R,1,2060,1.0
Globe,C1BMBRFN1,C1_F_HEA_R,1,2061,1.0
Globe,C1BMBRFN1,C1_F_HEA_R,1,2062,1.0
Globe,C1BMBRFN1,C1_F_HEA_R,1,2063,1.0
Globe,C1BMBRFN1,C1_F_HEA_R,1,2064,1.0
Globe,C1BMBRFN1,C1_F_HEA_R,1,2065,1.0
Globe,C1BMBRFN1,C1_F_HEA_R,1,2066,1.0
Globe,C1BMBRFN1,C1_F_HEA_R,1,2067,1.0
Globe,C1BMBRFN1,C1_F_HEA_R,1,2068,1.0
Globe,C1BMBRFN1,C1_F_HEA_R,1,2069,1.0
Globe,C1BMBRFN1,C1_F_HEA_R,1,2070,1.0
Globe,C1BMCHP00,C1_S_ELC,1,2010,1.0
Globe,C1BMCHP00,C1_S_ELC,1,2011,1.0
Globe,C1BMCHP00,C1_S_ELC,1,2012,1.0
Globe,C1BMCHP00,C1_S_ELC,1,2013,1.0
Globe,C1BMCHP00,C1_S_ELC,1,2014,1.0
Globe,C1BMCHP00,C1_S_ELC,1,2015,1.0
Globe,C1BMCHP00,C1_S_ELC,1,2016,1.0
Globe,C1BMCHP00,C1_S_ELC,1,2017,1.0
Globe,C1BMCHP00,C1_S_ELC,1,2018,1.0
Globe,C1BMCHP00,C1_S_ELC,1,2019,1.0
Globe,C1BMCHP00,C1_S_ELC,1,2020,1.0
Globe,C1BMCHP00,C1_S_ELC,1,2021,1.0
Globe,C1BMCHP00,C1_S_ELC,1,2022,1.0
Globe,C1BMCHP00,C1_S_ELC,1,2023,1.0
Globe,C1BMCHP00,C1_S_ELC,1,2024,1.0
Globe,C1BMCHP00,C1_S_ELC,1,2025,1.0
Globe,C1BMCHP00,C1_S_ELC,1,2026,1.0
Globe,C1BMCHP00,C1_S_ELC,1,2027,1.0
Globe,C1BMCHP00,C1_S_ELC,1,2028,1.0
Globe,C1BMCHP00,C1_S_ELC,1,2029,1.0
Globe,C1BMCHP00,C1_S_ELC,1,2030,1.0
Globe,C1BMCHP00,C1_S_ELC,1,2031,1.0
Globe,C1BMCHP00,C1_S_ELC,1,2032,1.0
Globe,C1BMCHP00,C1_S_ELC,1,2033,1.0
Globe,C1BMCHP00,C1_S_ELC,1,2034,1.0
Globe,C1BMCHP00,C1_S_ELC,1,2035,1.0
Globe,C1BMCHP00,C1_S_ELC,1,2036,1.0
Globe,C1BMCHP00,C1_S_ELC,1,2037,1.0
Globe,C1BMCHP00,C1_S_ELC,1,2038,1.0
Globe,C1BMCHP00,C1_S_ELC,1,2039,1.0
Globe,C1BMCHP00,C1_S_ELC,1,2040,1.0
Globe,C1BMCHP00,C1_S_ELC,1,2041,1.0
Globe,C1BMCHP00,C1_S_ELC,1,2042,1.0
Globe,C1BMCHP00,C1_S_ELC,1,2043,1.0
Globe,C1BMCHP00,C1_S_ELC,1,2044,1.0
Globe,C1BMCHP00,C1_S_ELC,1,2045,1.0
Globe,C1BMCHP00,C1_S_ELC,1,2046,1.0
Globe,C1BMCHP00,C1_S_ELC,1,2047,1.0
Globe,C1BMCHP00,C1_S_ELC,1,2048,1.0
Globe,C1BMCHP00,C1_S_ELC,1,2049,1.0
Globe,C1BMCHP00,C1_S_ELC,1,2050,1.0
Globe,C1BMCHP00,C1_S_ELC,1,2051,1.0
Globe,C1BMCHP00,C1_S_ELC,1,2052,1.0
Globe,C1BMCHP00,C1_S_ELC,1,2053,1.0
Globe,C1BMCHP00,C1_S_ELC,1,2054,1.0
Globe,C1BMCHP00,C1_S_ELC,1,2055,1.0
Globe,C1BMCHP00,C1_S_ELC,1,2056,1.0
Globe,C1BMCHP00,C1_S_ELC,1,2057,1.0
Globe,C1BMCHP00,C1_S_ELC,1,2058,1.0
Globe,C1BMCHP00,C1_S_ELC,1,2059,1.0
Globe,C1BMCHP00,C1_S_ELC,1,2060,1.0
Globe,C1BMCHP00,C1_S_ELC,1,2061,1.0
Globe,C1BMCHP00,C1_S_ELC,1,2062,1.0
Globe,C1BMCHP00,C1_S_ELC,1,2063,1.0
Globe,C1BMCHP00,C1_S_ELC,1,2064,1.0
Globe,C1BMCHP00,C1_S_ELC,1,2065,1.0
Globe,C1BMCHP00,C1_S_ELC,1,2066,1.0
Globe,C1BMCHP00,C1_S_ELC,1,2067,1.0
Globe,C1BMCHP00,C1_S_ELC,1,2068,1.0
Globe,C1BMCHP00,C1_S_ELC,1,2069,1.0
Globe,C1BMCHP00,C1_S_ELC,1,2070,1.0
Globe,C1BMCHP00,C1_S_HEAT,1,2010,1.8333
Globe,C1BMCHP00,C1_S_HEAT,1,2011,1.8338
Globe,C1BMCHP00,C1_S_HEAT,1,2012,1.8344
Globe,C1BMCHP00,C1_S_HEAT,1,2013,1.8349
Globe,C1BMCHP00,C1_S_HEAT,1,2014,1.8354
Globe,C1BMCHP00,C1_S_HEAT,1,2015,1.8359
Globe,C1BMCHP00,C1_S_HEAT,1,2016,1.8365
Globe,C1BMCHP00,C1_S_HEAT,1,2017,1.837
Globe,C1BMCHP00,C1_S_HEAT,1,2018,1.8375
Globe,C1BMCHP00,C1_S_HEAT,1,2019,1.838
Globe,C1BMCHP00,C1_S_HEAT,1,2020,1.8386
Globe,C1BMCHP00,C1_S_HEAT,1,2021,1.8391
Globe,C1BMCHP00,C1_S_HEAT,1,2022,1.8396
Globe,C1BMCHP00,C1_S_HEAT,1,2023,1.8401
Globe,C1BMCHP00,C1_S_HEAT,1,2024,1.8407
Globe,C1BMCHP00,C1_S_HEAT,1,2025,1.8412
Globe,C1BMCHP00,C1_S_HEAT,1,2026,1.8417
Globe,C1BMCHP00,C1_S_HEAT,1,2027,1.8422
Globe,C1BMCHP00,C1_S_HEAT,1,2028,1.8428
Globe,C1BMCHP00,C1_S_HEAT,1,2029,1.8433
Globe,C1BMCHP00,C1_S_HEAT,1,2030,1.8438
Globe,C1BMCHP00,C1_S_HEAT,1,2031,1.8438
Globe,C1BMCHP00,C1_S_HEAT,1,2032,1.8438
Globe,C1BMCHP00,C1_S_HEAT,1,2033,1.8438
Globe,C1BMCHP00,C1_S_HEAT,1,2034,1.8438
Globe,C1BMCHP00,C1_S_HEAT,1,2035,1.8438
Globe,C1BMCHP00,C1_S_HEAT,1,2036,1.8438
Globe,C1BMCHP00,C1_S_HEAT,1,2037,1.8438
Globe,C1BMCHP00,C1_S_HEAT,1,2038,1.8438
Globe,C1BMCHP00,C1_S_HEAT,1,2039,1.8438
Globe,C1BMCHP00,C1_S_HEAT,1,2040,1.8438
Globe,C1BMCHP00,C1_S_HEAT,1,2041,1.8438
Globe,C1BMCHP00,C1_S_HEAT,1,2042,1.8438
Globe,C1BMCHP00,C1_S_HEAT,1,2043,1.8438
Globe,C1BMCHP00,C1_S_HEAT,1,2044,1.8438
Globe,C1BMCHP00,C1_S_HEAT,1,2045,1.8438
Globe,C1BMCHP00,C1_S_HEAT,1,2046,1.8438
Globe,C1BMCHP00,C1_S_HEAT,1,2047,1.8438
Globe,C1BMCHP00,C1_S_HEAT,1,2048,1.8438
Globe,C1BMCHP00,C1_S_HEAT,1,2049,1.8438
Globe,C1BMCHP00,C1_S_HEAT,1,2050,1.8438
Globe,C1BMCHP00,C1_S_HEAT,1,2051,1.8438
Globe,C1BMCHP00,C1_S_HEAT,1,2052,1.8438
Globe,C1BMCHP00,C1_S_HEAT,1,2053,1.8438
Globe,C1BMCHP00,C1_S_HEAT,1,2054,1.8438
Globe,C1BMCHP00,C1_S_HEAT,1,2055,1.8438
Globe,C1BMCHP00,C1_S_HEAT,1,2056,1.8438
Globe,C1BMCHP00,C1_S_HEAT,1,2057,1.8438
Globe,C1BMCHP00,C1_S_HEAT,1,2058,1.8438
Globe,C1BMCHP00,C1_S_HEAT,1,2059,1.8438
Globe,C1BMCHP00,C1_S_HEAT,1,2060,1.8438
Globe,C1BMCHP00,C1_S_HEAT,1,2061,1.8438
Globe,C1BMCHP00,C1_S_HEAT,1,2062,1.8438
Globe,C1BMCHP00,C1_S_HEAT,1,2063,1.8438
Globe,C1BMCHP00,C1_S_HEAT,1,2064,1.8438
Globe,C1BMCHP00,C1_S_HEAT,1,2065,1.8438
Globe,C1BMCHP00,C1_S_HEAT,1,2066,1.8438
Globe,C1BMCHP00,C1_S_HEAT,1,2067,1.8438
Globe,C1BMCHP00,C1_S_HEAT,1,2068,1.8438
Globe,C1BMCHP00,C1_S_HEAT,1,2069,1.8438
Globe,C1BMCHP00,C1_S_HEAT,1,2070,1.8438
Globe,C1BMHTF03,C1_S_HEAT,1,2010,1.0
Globe,C1BMHTF03,C1_S_HEAT,1,2011,1.0
Globe,C1BMHTF03,C1_S_HEAT,1,2012,1.0
Globe,C1BMHTF03,C1_S_HEAT,1,2013,1.0
Globe,C1BMHTF03,C1_S_HEAT,1,2014,1.0
Globe,C1BMHTF03,C1_S_HEAT,1,2015,1.0
Globe,C1BMHTF03,C1_S_HEAT,1,2016,1.0
Globe,C1BMHTF03,C1_S_HEAT,1,2017,1.0
Globe,C1BMHTF03,C1_S_HEAT,1,2018,1.0
Globe,C1BMHTF03,C1_S_HEAT,1,2019,1.0
Globe,C1BMHTF03,C1_S_HEAT,1,2020,1.0
Globe,C1BMHTF03,C1_S_HEAT,1,2021,1.0
Globe,C1BMHTF03,C1_S_HEAT,1,2022,1.0
Globe,C1BMHTF03,C1_S_HEAT,1,2023,1.0
Globe,C1BMHTF03,C1_S_HEAT,1,2024,1.0
Globe,C1BMHTF03,C1_S_HEAT,1,2025,1.0
Globe,C1BMHTF03,C1_S_HEAT,1,2026,1.0
Globe,C1BMHTF03,C1_S_HEAT,1,2027,1.0
Globe,C1BMHTF03,C1_S_HEAT,1,2028,1.0
Globe,C1BMHTF03,C1_S_HEAT,1,2029,1.0
Globe,C1BMHTF03,C1_S_HEAT,1,2030,1.0
Globe,C1BMHTF03,C1_S_HEAT,1,2031,1.0
Globe,C1BMHTF03,C1_S_HEAT,1,2032,1.0
Globe,C1BMHTF03,C1_S_HEAT,1,2033,1.0
Globe,C1BMHTF03,C1_S_HEAT,1,2034,1.0
Globe,C1BMHTF03,C1_S_HEAT,1,2035,1.0
Globe,C1BMHTF03,C1_S_HEAT,1,2036,1.0
Globe,C1BMHTF03,C1_S_HEAT,1,2037,1.0
Globe,C1BMHTF03,C1_S_HEAT,1,2038,1.0
Globe,C1BMHTF03,C1_S_HEAT,1,2039,1.0
Globe,C1BMHTF03,C1_S_HEAT,1,2040,1.0
Globe,C1BMHTF03,C1_S_HEAT,1,2041,1.0
Globe,C1BMHTF03,C1_S_HEAT,1,2042,1.0
Globe,C1BMHTF03,C1_S_HEAT,1,2043,1.0
Globe,C1BMHTF03,C1_S_HEAT,1,2044,1.0
Globe,C1BMHTF03,C1_S_HEAT,1,2045,1.0
Globe,C1BMHTF03,C1_S_HEAT,1,2046,1.0
Globe,C1BMHTF03,C1_S_HEAT,1,2047,1.0
Globe,C1BMHTF03,C1_S_HEAT,1,2048,1.0
Globe,C1BMHTF03,C1_S_HEAT,1,2049,1.0
Globe,C1BMHTF03,C1_S_HEAT,1,2050,1.0
Globe,C1BMHTF03,C1_S_HEAT,1,2051,1.0
Globe,C1BMHTF03,C1_S_HEAT,1,2052,1.0
Globe,C1BMHTF03,C1_S_HEAT,1,2053,1.0
Globe,C1BMHTF03,C1_S_HEAT,1,2054,1.0
Globe,C1BMHTF03,C1_S_HEAT,1,2055,1.0
Globe,C1BMHTF03,C1_S_HEAT,1,2056,1.0
Globe,C1BMHTF03,C1_S_HEAT,1,2057,1.0
Globe,C1BMHTF03,C1_S_HEAT,1,2058,1.0
Globe,C1BMHTF03,C1_S_HEAT,1,2059,1.0
Globe,C1BMHTF03,C1_S_HEAT,1,2060,1.0
Globe,C1BMHTF03,C1_S_HEAT,1,2061,1.0
Globe,C1BMHTF03,C1_S_HEAT,1,2062,1.0
Globe,C1BMHTF03,C1_S_HEAT,1,2063,1.0
Globe,C1BMHTF03,C1_S_HEAT,1,2064,1.0
Globe,C1BMHTF03,C1_S_HEAT,1,2065,1.0
Globe,C1BMHTF03,C1_S_HEAT,1,2066,1.0
Globe,C1BMHTF03,C1_S_HEAT,1,2067,1.0
Globe,C1BMHTF03,C1_S_HEAT,1,2068,1.0
Globe,C1BMHTF03,C1_S_HEAT,1,2069,1.0
Globe,C1BMHTF03,C1_S_HEAT,1,2070,1.0
Globe,C1BMIGPCS,C1_S_ELC,1,2010,1.0
Globe,C1BMIGPCS,C1_S_ELC,1,2011,1.0
Globe,C1BMIGPCS,C1_S_ELC,1,2012,1.0
Globe,C1BMIGPCS,C1_S_ELC,1,2013,1.0
Globe,C1BMIGPCS,C1_S_ELC,1,2014,1.0
Globe,C1BMIGPCS,C1_S_ELC,1,2015,1.0
Globe,C1BMIGPCS,C1_S_ELC,1,2016,1.0
Globe,C1BMIGPCS,C1_S_ELC,1,2017,1.0
Globe,C1BMIGPCS,C1_S_ELC,1,2018,1.0
Globe,C1BMIGPCS,C1_S_ELC,1,2019,1.0
Globe,C1BMIGPCS,C1_S_ELC,1,2020,1.0
Globe,C1BMIGPCS,C1_S_ELC,1,2021,1.0
Globe,C1BMIGPCS,C1_S_ELC,1,2022,1.0
Globe,C1BMIGPCS,C1_S_ELC,1,2023,1.0
Globe,C1BMIGPCS,C1_S_ELC,1,2024,1.0
