REGION,TIMESLICE,TECHNOLOGY,MODE_OF_OPERATION,FUEL,YEAR,VALUE
Globe,ID,ALUPLANT,1,ALU,2053,240.79205631800005
Globe,ID,ALUPLANT,1,ALU,2054,240.79205631800005
Globe,ID,ALUPLANT,1,ALU,2055,240.79205631800005
Globe,ID,ALUPLANT,1,ALU,2056,240.79205631800005
Globe,ID,ALUPLANT,1,ALU,2057,240.79205631800005
Globe,ID,ALUPLANT,1,ALU,2058,240.79205631800005
Globe,ID,ALUPLANT,1,ALU,2059,240.79205631800005
Globe,ID,ALUPLANT,1,ALU,2060,240.79205631800005
Globe,ID,ALUPLANT,1,ALU,2061,240.79205631800005
Globe,ID,ALUPLANT,1,ALU,2062,240.79205631800005
Globe,ID,ALUPLANT,1,ALU,2063,240.79205631800005
Globe,ID,ALUPLANT,1,ALU,2064,240.79205631800005
Globe,ID,ALUPLANT,1,ALU,2065,240.79205631800005
Globe,ID,ALUPLANT,1,ALU,2066,240.79205631800005
Globe,ID,ALUPLANT,1,ALU,2067,240.79205631800005
Globe,ID,ALUPLANT,1,ALU,2068,240.79205631800005
Globe,ID,ALUPLANT,1,ALU,2069,240.79205631800005
Globe,ID,ALUPLANT,1,ALU,2070,240.79205631800005
Globe,ID,C1BFRDF00,1,C1_F_RD,2010,0.21323879
Globe,ID,C1BFRDF00,1,C1_F_RD,2011,0.5836
Globe,ID,C1BFRDF00,1,C1_F_RD,2012,0.6067
Globe,ID,C1BFRDF00,1,C1_F_RD,2013,0.59859554
Globe,ID,C1BFRDF00,1,C1_F_RD,2014,0.45603069999999996
Globe,ID,C1BFRDF00,1,C1_F_RD,2015,0.58200772
Globe,ID,C1BFRDF00,1,C1_F_RD,2016,0.3146958
Globe,ID,C1BFRDF00,1,C1_F_RD,2017,0.30902247
Globe,ID,C1BFRDF00,1,C1_F_RD,2018,0.38094789
Globe,ID,C1BFRDF00,1,C1_F_RD,2019,0.53927799
Globe,ID,C1BFRDF00,1,C1_F_RD,2020,0.36850724
Globe,ID,C1BFRDF00,1,C1_F_RD,2022,0.51964388
Globe,ID,C1BFRDF00,1,C1_F_RD,2023,0.0035221548
Globe,ID,C1BFRDF00,1,C1_F_RD,2024,0.013630498999999999
Globe,ID,C1BFRDF00,1,C1_F_RD,2025,0.3545433
Globe,ID,C1BFRDF00,1,C1_F_RD,2026,0.087090087
Globe,ID,C1BFRDF00,1,C1_F_RD,2027,0.029065437000000003
Globe,ID,C1BMBRFH1,1,C1_F_HEA_R,2010,22.680585999999998
Globe,ID,C1BMBRFH1,1,C1_F_HEA_R,2011,17.573043
Globe,ID,C1BMBRFH1,1,C1_F_HEA_R,2012,18.371185
Globe,ID,C1BMBRFH1,1,C1_F_HEA_R,2013,14.171264
Globe,ID,C1BMBRFH1,1,C1_F_HEA_R,2014,15.959717000000001
Globe,ID,C1BMBRFH1,1,C1_F_HEA_R,2015,13.006122999999999
Globe,ID,C1BMBRFH1,1,C1_F_HEA_R,2016,14.215905
Globe,ID,C1BMBRFH1,1,C1_F_HEA_R,2017,13.166279999999999
Globe,ID,C1BMBRFH1,1,C1_F_HEA_R,2018,11.520100999999999
Globe,ID,C1BMBRFH1,1,C1_F_HEA_R,2019,9.4386751
Globe,ID,C1BMBRFH1,1,C1_F_HEA_R,2020,8.2277424
Globe,ID,C1BMBRFH1,1,C1_F_HEA_R,2021,6.9167933
Globe,ID,C1BMBRFH1,1,C1_F_HEA_R,2022,2.8486447999999998
Globe,ID,C1BMBRFH1,1,C1_F_HEA_R,2023,3.6478695
Globe,ID,C1BMBRFH1,1,C1_F_HEA_R,2024,2.0016903000000004
Globe,ID,C1BMBRFH1,1,C1_F_HEA_R,2025,0.35551109
Globe,ID,C1BMBRFH1,1,C1_F_HEA_R,2026,0.35551109
Globe,ID,C1BMBRFH1,1,C1_F_HEA_R,2027,0.35551109
Globe,ID,C1BMBRFH1,1,C1_F_HEA_R,2028,0.35551109
Globe,ID,C1BMBRFH1,1,C1_F_HEA_R,2029,0.35551109
Globe,ID,C1BMBRFH1,1,C1_F_HEA_R,2030,0.35551109
