VALUE,C1CO00I00,C1NG00I00,C1NU00I00,C1OI00I00,BM,GO,HY,OC,SO,WD
2031,41.66475709084104,144.59763055564656,99.95913444096,168.75339465636807,29.993884672597563,28.9631339136,23.098853514240005,0.1997080271999999,23.657002271305384,19.294765487999996
2032,41.25906282551939,135.30336987997072,106.96937153471995,170.7592395213431,29.90988467259756,34.3071339136,23.533876235520005,0.2451860927999999,25.744713956819268,20.796162912000007
2033,40.8518053660792,124.84276303791648,113.97216676319998,172.67991370276528,29.82588467259756,40.7201339136,23.96747731392,0.291652812,27.833844762333158,22.399610832
2034,40.44499318661026,112.97346684431751,120.97496199167998,174.51124097270716,29.741884672597564,48.4161339136,24.402500035200006,0.3371308776,29.921556447847053,24.10952428800001
2035,40.03663967084799,99.42743083727966,127.98519908543994,176.25935116397665,29.65788467259756,57.651133913600006,24.837522756480006,0.3826089432,32.01068725336094,25.945455600000003
2036,39.628743668209374,87.49905981194861,134.98799431391998,178.67088547914565,28.907999999999994,65.3421339136,25.219944691200006,0.4518146952,34.27862717887483,27.886401792
2037,39.21930992511379,82.70465389041405,141.99078954239997,181.0912436297256,28.823999999999998,65.34213391360005,25.602366625920002,0.5210204472,36.54798622438873,29.955510288000003
2038,38.80933880777295,77.96244099989428,149.0010266361599,183.45754813557463,28.738999999999994,65.3421339136,25.932298170240003,0.5892375456,38.81592614990261,32.150447424000006
2039,38.39988339542608,73.02829068004343,156.00382186463997,185.7945029351825,28.655,65.3421339136,26.172555816960006,0.6584432976,41.0852851954165,34.494675984000004
2040,37.98888957167471,57.09425801469283,163.00661709311998,188.11145998350824,28.571,65.34213391360001,26.412813463680003,0.7276490495999998,44.26737775834165,36.98952048000001
2041,38.00563677835955,51.34439402331347,170.01685418687998,188.9667633724385,28.34599999999999,65.3421339136,26.62605989568,0.8443101744,46.685891811597685,39.655290095999995
2042,38.02189286816374,45.82364411533977,177.01964941536,191.15243525343607,28.12,65.36998650880001,26.83930632768,0.9609712992,49.10440586485372,42.47098185600001
2043,38.03763683677112,39.20615373236331,184.02244464383995,193.31298313250352,27.89499999999999,65.5069284352,27.052552759680047,1.0786210776,51.52150079810975,45.492635232
2044,38.05288285334677,60.96379870285588,191.0326817376,195.4693243710209,27.668999999999997,65.64387036160001,27.265799191680003,1.1952822024,53.94001485136576,48.695935968
2045,38.06762703896993,188.4570312286724,198.03547696607987,197.61852946202555,29.019380880000003,65.780812288,27.47904562368,1.3119433272,56.09644830255034,52.105198320000014
2046,38.08186227577358,181.8324801062101,205.0382721945599,199.657582393632,29.131333111850132,65.8899016192,27.625474840320003,1.5017648184,57.731423182180265,55.731869855999996
2047,38.09559691340928,163.0072620265111,212.0485092883199,211.28344598819731,29.168130264613662,65.9989909504,27.77190405696001,1.6915863095999997,58.9864499717207,59.610356352000004
2048,38.10879930342767,260.11646808219865,219.05130451679983,212.90991317545715,29.224136357660047,66.1104013312,27.918333273600005,1.8814078007999997,59.79251013172069,63.71646969599999
2049,38.12152442832321,265.6497076492084,226.05409974527984,214.53028489315096,29.28384468275654,66.2194906624,28.064762490240007,2.071229291999999,60.59998941172069,68.09811307199998
2050,38.13373134074063,258.81949565794173,233.0643368390398,216.1545949511237,29.355897684289125,66.3285799936,28.21119170688,2.261050783199998,62.59229628621378,72.76395887999999
