REGION,_REGION,TIMESLICE,FUEL,YEAR,VALUE
Globe,Globe,IN,C1_F_CLS,2015,-0.0
Globe,Globe,IN,C1_F_CLS,2016,-0.0
Globe,Globe,IN,C1_F_CLS,2017,-0.0
Globe,Globe,IN,C1_F_CLS,2018,-0.0
Globe,Globe,IN,C1_F_CLS,2019,-0.0
Globe,Globe,IN,C1_F_CLS,2020,-0.0
Globe,Globe,IN,C1_F_CLS,2021,-0.0
Globe,Globe,IN,C1_F_CLS,2022,-0.0
Globe,Globe,IN,C1_F_CLS,2023,-0.0
Globe,Globe,IN,C1_F_CLS,2024,-0.0
Globe,Globe,IN,C1_F_CLS,2025,-0.0
Globe,Globe,IN,C1_F_CLS,2026,-0.0
Globe,Globe,IN,C1_F_CLS,2027,-0.0
Globe,Globe,IN,C1_F_CLS,2028,-0.0
Globe,Globe,IN,C1_F_CLS,2029,-0.0
Globe,Globe,IN,C1_F_CLS,2030,-0.0
Globe,Globe,IN,C1_F_CLS,2031,-0.0
Globe,Globe,IN,C1_F_CLS,2032,-0.0
Globe,Globe,IN,C1_F_CLS,2033,-0.0
Globe,Globe,IN,C1_F_CLS,2034,-0.0
Globe,Globe,IN,C1_F_CLS,2035,-0.0
Globe,Globe,IN,C1_F_CLS,2036,-0.0
Globe,Globe,IN,C1_F_CLS,2037,-0.0
Globe,Globe,IN,C1_F_CLS,2038,-0.0
Globe,Globe,IN,C1_F_CLS,2039,-0.0
Globe,Globe,IN,C1_F_CLS,2040,-0.0
Globe,Globe,IN,C1_F_CLS,2041,-0.0
Globe,Globe,IN,C1_F_CLS,2042,-0.0
Globe,Globe,IN,C1_F_CLS,2043,-0.0
Globe,Globe,IN,C1_F_CLS,2044,-0.0
Globe,Globe,IN,C1_F_CLS,2045,-0.0
Globe,Globe,IN,C1_F_CLS,2046,-0.0
Globe,Globe,IN,C1_F_CLS,2047,-0.0
Globe,Globe,IN,C1_F_CLS,2048,-0.0
Globe,Globe,IN,C1_F_CLS,2049,-0.0
Globe,Globe,IN,C1_F_CLS,2050,-0.0
Globe,Globe,IN,C1_F_CLS,2051,-0.0
Globe,Globe,IN,C1_F_CLS,2052,-0.0
Globe,Globe,IN,C1_F_CLS,2053,-0.0
Globe,Globe,IN,C1_F_CLS,2054,-0.0
Globe,Globe,IN,C1_F_CLS,2055,-0.0
Globe,Globe,IN,C1_F_CLS,2056,-0.0
Globe,Globe,IN,C1_F_CLS,2057,-0.0
Globe,Globe,IN,C1_F_CLS,2058,-0.0
Globe,Globe,IN,C1_F_CLS,2059,-0.0
Globe,Globe,IN,C1_F_CLS,2060,-0.0
Globe,Globe,IN,C1_F_CLS,2061,-0.0
Globe,Globe,IN,C1_F_CLS,2062,-0.0
Globe,Globe,IN,C1_F_CLS,2063,-0.0
Globe,Globe,IN,C1_F_CLS,2064,-0.0
Globe,Globe,IN,C1_F_CLS,2065,-0.0
Globe,Globe,IN,C1_F_CLS,2066,-0.0
Globe,Globe,IN,C1_F_CLS,2067,-0.0
Globe,Globe,IN,C1_F_CLS,2068,-0.0
Globe,Globe,IN,C1_F_CLS,2069,-0.0
Globe,Globe,IN,C1_F_CLS,2070,-0.0
Globe,Globe,IN,C1_F_HEA_I,2010,-0.0
Globe,Globe,IN,C1_F_HEA_I,2011,-0.0
Globe,Globe,IN,C1_F_HEA_I,2012,-0.0
Globe,Globe,IN,C1_F_HEA_I,2013,-0.0
Globe,Globe,IN,C1_F_HEA_I,2014,-0.0
Globe,Globe,IN,C1_F_HEA_I,2015,-0.0
Globe,Globe,IN,C1_F_HEA_I,2016,-0.0
Globe,Globe,IN,C1_F_HEA_I,2017,-0.0
Globe,Globe,IN,C1_F_HEA_I,2018,-0.0
Globe,Globe,IN,C1_F_HEA_I,2019,-0.0
Globe,Globe,IN,C1_F_HEA_I,2020,-0.0
