TIMESLICE,YEAR,TECHNOLOGY,MODE_OF_OPERATION,REGION,VALUE
IP,2025,C1LFBRFN1,1,Globe,0.59177304
IP,2025,C1LFCCP00,1,Globe,0.32166152352
IP,2025,C1LFRDF00,1,Globe,2.0016
IP,2025,C1LFRLF00,1,Globe,1.2038267082
IP,2025,C1NG00I00,1,Globe,12.169779707999998
IP,2025,C1NGBRFH1,1,Globe,0.60325673628
IP,2025,C1NGBRFN1,1,Globe,1.288750176
IP,2025,C1NGCCP00,1,Globe,2.1680723214
IP,2025,C1NGCCPCH,1,Globe,0.39281104763999997
IP,2025,C1NGGCP00,1,Globe,1.2758495304
IP,2025,C1NGGCPCH,1,Globe,0.46454183639999996
IP,2025,C1NGHTF03,1,Globe,0.80127472404
IP,2025,C1NU00I00,1,Globe,2.1199231662
IP,2025,C1NULWP00,1,Globe,0.7793835083999999
IP,2025,C1OCCVP00,1,Globe,0.00034717351680000003
IP,2025,C1OI00I00,1,Globe,12.185423045999999
IP,2025,C1OIHTF03,1,Globe,0.7041095707200001
IP,2025,C1OIRFP00,1,Globe,12.185423045999999
IP,2025,C1SOC1P00,1,Globe,0.003432283632
IP,2025,C1SOTHF00,1,Globe,0.23274828311999995
IP,2025,C1SOV1P00,1,Globe,0.014397180204
IP,2025,C1SOV2P00,1,Globe,0.0066909805056
IP,2025,C1WDOFP00,1,Globe,0.0038438946576
IP,2025,C1WDONP00,1,Globe,0.07960530917400001
IP,2025,CEMPLANT,1,Globe,0.9410946072
IP,2025,LandRes,1,Globe,680.5609385399999
IP,2025,LF,1,Globe,355.30093854
IP,2025,LF1,1,Globe,32.507206644
IP,2025,LF2,1,Globe,322.79372856
IP,2025,LF2_PROD,1,Globe,322.79372856
IP,2025,LO,1,Globe,325.26
IP,2025,XALUMINE,1,Globe,0.43182251520000003
IP,2025,XCEMMINE,1,Globe,4.2443367552
IP,2025,XPHOMINE,2,Globe,1.053255264e-07
IP,2026,ALUPLANT,1,Globe,0.4677967215600001
IP,2026,C1BFRDF00,1,Globe,0.023475768102
IP,2026,C1BMBRFH1,1,Globe,0.64991519154
IP,2026,C1BMBRFN1,1,Globe,1.0510405770000002
IP,2026,C1BMCHP00,1,Globe,0.07936333992000001
IP,2026,C1BMHTF03,1,Globe,0.0840327141
IP,2026,C1BMIGPCS,1,Globe,0.14462241378
IP,2026,C1BMLP000,1,Globe,0.23851540146
IP,2026,C1BMSCP00,1,Globe,0.049633226508000006
IP,2026,C1CO00I00,1,Globe,8.62383522
IP,2026,C1COBRFH1,1,Globe,1.157245056
IP,2026,C1COCHP00,1,Globe,0.13815928074000003
IP,2026,C1COHTF03,1,Globe,2.0803668798
IP,2026,C1COIGP00,1,Globe,0.00894234816
IP,2026,C1COSCP00,1,Globe,2.1204233994
IP,2026,C1COSCPCS,1,Globe,0.13065533238000002
IP,2026,C1ELEFF00,1,Globe,10.442357207999999
IP,2026,C1GOCVP00,1,Globe,0.016411838976
IP,2026,C1HFGCP00,1,Globe,0.41581918943999996
IP,2026,C1HFGCPCH,1,Globe,0.2906263152
IP,2026,C1HFMRF00,1,Globe,10.30824
IP,2026,C1HTOOTFI,1,Globe,4.6063731528
IP,2026,C1HTOOTFR,1,Globe,0.5347516009800001
IP,2026,C1HYDMP00,1,Globe,1.313617971
IP,2026,C1HYMIP00,1,Globe,0.07259082624
IP,2026,C1LFBRFN1,1,Globe,0.5523215040000001
IP,2026,C1LFCCP00,1,Globe,0.31876841088
IP,2026,C1LFRDF00,1,Globe,2.0016
IP,2026,C1LFRLF00,1,Globe,1.4828776871999998
IP,2026,C1NG00I00,1,Globe,11.80027017
IP,2026,C1NGBRFH1,1,Globe,0.10409111466
IP,2026,C1NGBRFN1,1,Globe,1.3282017119999998
IP,2026,C1NGCCP00,1,Globe,2.2501183224
IP,2026,C1NGCCPCH,1,Globe,0.44751717756000003
IP,2026,C1NGGCP00,1,Globe,1.2458926674
IP,2026,C1NGGCPCH,1,Globe,0.5355546012
IP,2026,C1NGHTF03,1,Globe,0.7055217495600001
IP,2026,C1NU00I00,1,Globe,2.0648876730000003
IP,2026,C1NULWP00,1,Globe,0.7602679198200001
IP,2026,C1OCCVP00,1,Globe,0.00034717351680000003
IP,2026,C1OI00I00,1,Globe,12.026560224
IP,2026,C1OIHTF03,1,Globe,0.52670080716
IP,2026,C1OIRFP00,1,Globe,11.177340558000001
IP,2026,C1OIRFP00,2,Globe,0.8492194992000001
IP,2026,C1SOC1P00,1,Globe,0.003432283632
IP,2026,C1SOTHF00,1,Globe,0.25111849254
IP,2026,C1SOV1P00,1,Globe,0.014124965106
IP,2026,C1SOV2P00,1,Globe,0.0065436947712
IP,2026,C1WDOFP00,1,Globe,0.0038536260198
IP,2026,C1WDONP00,1,Globe,0.075070486716
IP,2026,CEMPLANT,1,Globe,0.9432816054
IP,2026,LandRes,1,Globe,690.1065689400001
IP,2026,LF,1,Globe,364.84656894
IP,2026,LF1,1,Globe,45.795970824
IP,2026,LF2,1,Globe,319.05060312
IP,2026,LF2_PROD,1,Globe,319.05060312
IP,2026,LO,1,Globe,325.26
IP,2026,STEPLANT,1,Globe,0.13468577916000002
IP,2026,XALUMINE,1,Globe,0.45896471994
IP,2026,XCEMMINE,1,Globe,4.276838736
IP,2026,XPHOMINE,2,Globe,1.0172107848e-07
IP,2026,XSTEMINE,1,Globe,0.20727266891999999
IP,2027,ALUPLANT,1,Globe,0.47585052611999995
IP,2027,C1BFRDF00,1,Globe,0.039239976054
IP,2027,C1BMBRFH1,1,Globe,0.64991519154
IP,2027,C1BMBRFN1,1,Globe,1.182545697
IP,2027,C1BMCHP00,1,Globe,0.07712775288
IP,2027,C1BMHTF03,1,Globe,0.063150840288
IP,2027,C1BMIGPCS,1,Globe,0.14462241378
IP,2027,C1BMLP000,1,Globe,0.39528298193999994
IP,2027,C1BMSCP00,1,Globe,0.044714935020000006
IP,2027,C1CO00I00,1,Globe,7.226735600400001
IP,2027,C1COCHP00,1,Globe,0.13279386684000002
IP,2027,C1COHTF03,1,Globe,2.3930631702000005
IP,2027,C1COIGP00,1,Globe,0.00894234816
IP,2027,C1COSCP00,1,Globe,2.0377066122
IP,2027,C1COSCPCS,1,Globe,0.13065533238000002
IP,2027,C1ELEFF00,1,Globe,10.412178084
IP,2027,C1GOCVP00,1,Globe,0.0157806144
IP,2027,C1HFGCP00,1,Globe,0.38608588013999995
IP,2027,C1HFGCPCH,1,Globe,0.31298218559999996
IP,2027,C1HFMRF00,1,Globe,10.591800000000001
IP,2027,C1HTOOTFI,1,Globe,4.3879774926
IP,2027,C1HTOOTFR,1,Globe,1.2075857964
IP,2027,C1HYDMP00,1,Globe,1.2993418092000002
IP,2027,C1HYMIP00,1,Globe,0.07162294839
IP,2027,C1LFBRFH1,1,Globe,0.010399101798
IP,2027,C1LFBRFN1,1,Globe,0.512869968
IP,2027,C1LFCCP00,1,Globe,0.31587529824000005
IP,2027,C1LFRDF00,1,Globe,2.0016
IP,2027,C1LFRLF00,1,Globe,1.4828776871999998
IP,2027,C1NG00I00,1,Globe,12.286731527999999
IP,2027,C1NGBRFH1,1,Globe,0.34024649628000003
IP,2027,C1NGBRFN1,1,Globe,1.2907499411999999
IP,2027,C1NGCCP00,1,Globe,2.3321644068
IP,2027,C1NGCCPCH,1,Globe,0.43931125974
IP,2027,C1NGGCP00,1,Globe,1.2159358044
IP,2027,C1NGGCPCH,1,Globe,0.6067646236800001
IP,2027,C1NGHTF03,1,Globe,0.7055217495600001
IP,2027,C1NU00I00,1,Globe,2.0106613266
IP,2027,C1NULWP00,1,Globe,0.741394308
IP,2027,C1OCCVP00,1,Globe,0.00034717351680000003
IP,2027,C1OI00I00,1,Globe,12.097248396
IP,2027,C1OIHTF03,1,Globe,0.66012566172
IP,2027,C1OIRFP00,1,Globe,12.097248396
IP,2027,C1SOC1P00,1,Globe,0.003432283632
IP,2027,C1SOTHF00,1,Globe,0.27018463326
IP,2027,C1SOV1P00,1,Globe,0.013822503330000001
IP,2027,C1SOV2P00,1,Globe,0.0064174498560000005
IP,2027,C1WDOFP00,1,Globe,0.0037589423334000002
IP,2027,C1WDONP00,1,Globe,0.070577482686
IP,2027,CEMPLANT,1,Globe,0.9454456686
IP,2027,LandRes,1,Globe,699.67440876
IP,2027,LF,1,Globe,374.41440876
IP,2027,LF1,1,Globe,30.659075988
IP,2027,LF2,1,Globe,343.75533444
IP,2027,LF2_PROD,1,Globe,343.75533444
IP,2027,LO,1,Globe,325.26
