REGION,TIMESLICE,FUEL,YEAR,VALUE
Globe,IN,C1_F_HEA_I,2030,17.66454879127
Globe,IP,C1_F_HEA_I,2030,3.2145393174600003
Globe,ID,C1_F_HEA_I,2031,17.480249537077
Globe,IN,C1_F_HEA_I,2031,17.480249537077
Globe,IP,C1_F_HEA_I,2031,3.181001115846
Globe,ID,C1_F_HEA_I,2032,17.291415454797
Globe,IN,C1_F_HEA_I,2032,17.291415454797
Globe,IP,C1_F_HEA_I,2032,3.1466376804060006
Globe,ID,C1_F_HEA_I,2033,17.097962964259
Globe,IN,C1_F_HEA_I,2033,17.097962964259
Globe,IP,C1_F_HEA_I,2033,3.111433801482
Globe,ID,C1_F_HEA_I,2034,16.899934664448
Globe,IN,C1_F_HEA_I,2034,16.899934664448
Globe,IP,C1_F_HEA_I,2034,3.075397231104
Globe,ID,C1_F_HEA_I,2035,16.697248913802
Globe,IN,C1_F_HEA_I,2035,16.697248913802
Globe,IP,C1_F_HEA_I,2035,3.038513112396
Globe,ID,C1_F_HEA_I,2036,16.575586964254
Globe,IN,C1_F_HEA_I,2036,16.575586964254
Globe,IP,C1_F_HEA_I,2036,3.0163734514920004
Globe,ID,C1_F_HEA_I,2037,16.446034096966
Globe,IN,C1_F_HEA_I,2037,16.446034096966
Globe,IP,C1_F_HEA_I,2037,2.9927978260679997
Globe,ID,C1_F_HEA_I,2038,16.308527428595
Globe,IN,C1_F_HEA_I,2038,16.308527428595
Globe,IP,C1_F_HEA_I,2038,2.9677747928100002
Globe,ID,C1_F_HEA_I,2039,16.163089227938
Globe,IN,C1_F_HEA_I,2039,16.163089227938
Globe,IP,C1_F_HEA_I,2039,2.941308404124
Globe,ID,C1_F_HEA_I,2040,16.009655649222
Globe,IN,C1_F_HEA_I,2040,16.009655649222
Globe,IP,C1_F_HEA_I,2040,2.913387041556
Globe,ID,C1_F_HEA_I,2041,16.088091663953
Globe,IN,C1_F_HEA_I,2041,16.088091663953
Globe,IP,C1_F_HEA_I,2041,2.927660582094
Globe,ID,C1_F_HEA_I,2042,16.163254655905998
Globe,IN,C1_F_HEA_I,2042,16.163254655905998
Globe,IP,C1_F_HEA_I,2042,2.941338508188
Globe,ID,C1_F_HEA_I,2043,16.235047108007
Globe,IN,C1_F_HEA_I,2043,16.235047108007
Globe,IP,C1_F_HEA_I,2043,2.954403073986
Globe,ID,C1_F_HEA_I,2044,16.303449657081
Globe,IN,C1_F_HEA_I,2044,16.303449657081
Globe,IP,C1_F_HEA_I,2044,2.966850755838
Globe,ID,C1_F_HEA_I,2045,16.368360436787
Globe,IN,C1_F_HEA_I,2045,16.368360436787
Globe,IP,C1_F_HEA_I,2045,2.9786630164259997
Globe,ID,C1_F_HEA_I,2046,16.414612636496
Globe,IN,C1_F_HEA_I,2046,16.414612636496
Globe,IP,C1_F_HEA_I,2046,2.987079847008
Globe,ID,C1_F_HEA_I,2047,16.4574104687
Globe,IN,C1_F_HEA_I,2047,16.4574104687
Globe,IP,C1_F_HEA_I,2047,2.9948680626
Globe,ID,C1_F_HEA_I,2048,16.496650513421
Globe,IN,C1_F_HEA_I,2048,16.496650513421
Globe,IP,C1_F_HEA_I,2048,3.002008843158
Globe,ID,C1_F_HEA_I,2049,16.532304768529
Globe,IN,C1_F_HEA_I,2049,16.532304768529
Globe,IP,C1_F_HEA_I,2049,3.008497092942
Globe,ID,C1_F_HEA_I,2050,16.564264878155
Globe,IN,C1_F_HEA_I,2050,16.564264878155
Globe,IP,C1_F_HEA_I,2050,3.0143130936900002
Globe,ID,C1_F_HEA_I,2051,16.564264878155
Globe,IN,C1_F_HEA_I,2051,16.564264878155
Globe,IP,C1_F_HEA_I,2051,3.0143130936900002
Globe,ID,C1_F_HEA_I,2052,16.564264878155
Globe,IN,C1_F_HEA_I,2052,16.564264878155
Globe,IP,C1_F_HEA_I,2052,3.0143130936900002
Globe,ID,C1_F_HEA_I,2053,16.564264878155
Globe,IN,C1_F_HEA_I,2053,16.564264878155
Globe,IP,C1_F_HEA_I,2053,3.0143130936900002
Globe,ID,C1_F_HEA_I,2054,16.564264878155
Globe,IN,C1_F_HEA_I,2054,16.564264878155
Globe,IP,C1_F_HEA_I,2054,3.0143130936900002
Globe,ID,C1_F_HEA_I,2055,16.564264878155
Globe,IN,C1_F_HEA_I,2055,16.564264878155
Globe,IP,C1_F_HEA_I,2055,3.0143130936900002
Globe,ID,C1_F_HEA_I,2056,16.564264878155
Globe,IN,C1_F_HEA_I,2056,16.564264878155
Globe,IP,C1_F_HEA_I,2056,3.0143130936900002
Globe,ID,C1_F_HEA_I,2057,16.564264878155
Globe,IN,C1_F_HEA_I,2057,16.564264878155
Globe,IP,C1_F_HEA_I,2057,3.0143130936900002
Globe,ID,C1_F_HEA_I,2058,16.564264878155
Globe,IN,C1_F_HEA_I,2058,16.564264878155
Globe,IP,C1_F_HEA_I,2058,3.0143130936900002
Globe,ID,C1_F_HEA_I,2059,16.564264878155
Globe,IN,C1_F_HEA_I,2059,16.564264878155
Globe,IP,C1_F_HEA_I,2059,3.0143130936900002
Globe,ID,C1_F_HEA_I,2060,16.564264878155
Globe,IN,C1_F_HEA_I,2060,16.564264878155
