REGION,TIMESLICE,TECHNOLOGY,MODE_OF_OPERATION,FUEL,YEAR,VALUE
Globe,IN,DUMMYH_I,1,C1_F_HEA_I,2067,35.129739
Globe,IN,DUMMYH_I,1,C1_F_HEA_I,2068,36.800128
Globe,IN,DUMMYH_I,1,C1_F_HEA_I,2069,35.116968
Globe,IN,DUMMYH_I,1,C1_F_HEA_I,2070,31.044655
Globe,IN,DUMMYH_R,1,C1_F_HEA_R,2057,3.9135038
Globe,IN,DUMMYH_R,1,C1_F_HEA_R,2058,13.375934
Globe,IN,DUMMYH_R,1,C1_F_HEA_R,2059,23.390009
Globe,IN,DUMMYH_R,1,C1_F_HEA_R,2060,33.416442
Globe,IN,DUMMYH_R,1,C1_F_HEA_R,2061,33.99828
Globe,IN,DUMMYH_R,1,C1_F_HEA_R,2062,33.999773
Globe,IN,DUMMYH_R,1,C1_F_HEA_R,2063,34.001336
Globe,IN,DUMMYH_R,1,C1_F_HEA_R,2064,34.002898
Globe,IN,DUMMYH_R,1,C1_F_HEA_R,2065,36.908219
Globe,IN,DUMMYH_R,1,C1_F_HEA_R,2066,41.188029
Globe,IN,DUMMYH_R,1,C1_F_HEA_R,2067,45.029074
Globe,IN,DUMMYH_R,1,C1_F_HEA_R,2068,45.029074
Globe,IN,DUMMYH_R,1,C1_F_HEA_R,2069,45.029074
Globe,IN,DUMMYH_R,1,C1_F_HEA_R,2070,45.029074
Globe,IN,DUMMYM,1,C1_F_MOT,2065,14.867007
Globe,IN,DUMMYM,1,C1_F_MOT,2066,36.770998
Globe,IN,DUMMYM,1,C1_F_MOT,2067,58.677033
Globe,IN,DUMMYM,1,C1_F_MOT,2068,106.58274
Globe,IN,DUMMYM,1,C1_F_MOT,2069,147.5306
Globe,IN,DUMMYM,1,C1_F_MOT,2070,158.05735
Globe,IN,DUMMYPETB,1,PET,2069,150.43051
Globe,IN,DUMMYPETB,1,PET,2070,514.38887
Globe,IN,FERTPLANT,1,FERT,2010,0.00042654883
Globe,IN,FERTPLANT,1,FERT,2011,0.00041778074
Globe,IN,FERTPLANT,1,FERT,2012,0.00042283225
Globe,IN,FERTPLANT,1,FERT,2013,0.00042789705
Globe,IN,FERTPLANT,1,FERT,2014,0.00043301502
