TIMESLICE,YEAR,MODE_OF_OPERATION,TECHNOLOGY,REGION,VALUE
IN,2051,1,XSTEMINE,Globe,26.054111642699997
IN,2052,1,ALUPLANT,Globe,3.8050036689999995
IN,2052,1,C1BMIGPCS,Globe,4.546119957379999
IN,2052,1,C1CO00I00,Globe,19.8688568038
IN,2052,2,C1CO00I00,Globe,42.1789044702
IN,2052,2,C1COBRFH1,Globe,0.06650554454799999
IN,2052,1,C1COCHP00,Globe,0.025351396128
IN,2052,2,C1COHTF03,Globe,5.9361788715
IN,2052,1,C1COSCPCS,Globe,4.9883264779
IN,2052,1,C1ELEFF00,Globe,53.880451969999996
IN,2052,1,C1ELRDF00,Globe,9.3232775608
IN,2052,1,C1ELRLF00,Globe,2.67922193749
IN,2052,1,C1GOCVP00,Globe,1.60832415163
IN,2052,1,C1GOHTF03,Globe,31.1728657176
IN,2052,1,C1HFMRF00,Globe,98.21175139099999
IN,2052,1,C1HTOOTFI,Globe,47.00146063
IN,2052,1,C1HTOOTFR,Globe,4.9094906285
IN,2052,1,C1HYDMP00,Globe,12.2502613821
IN,2052,1,C1HYMIP00,Globe,0.261958881226
IN,2052,1,C1LFRDF00,Globe,6.6651925568
IN,2052,1,C1NG00I00,Globe,65.559388781
IN,2052,1,C1NGBRFH1,Globe,9.0067127937
IN,2052,1,C1NGBRFN1,Globe,8.671769280000001
IN,2052,1,C1NGCCPCH,Globe,1.40266624299
IN,2052,1,C1NGCCPCS,Globe,8.1767864897
IN,2052,1,C1NGHTF03,Globe,20.121281111
IN,2052,1,C1NU00I00,Globe,25.3716245734
IN,2052,1,C1NULWP00,Globe,9.396897956199998
IN,2052,1,C1OCCVP00,Globe,2.61505897506e-05
IN,2052,1,C1OI00I00,Globe,43.6838035567
IN,2052,1,C1OIRFP00,Globe,21.742700681
IN,2052,2,C1OIRFP00,Globe,21.9411028757
IN,2052,1,C1SOV1P00,Globe,0.89462698982
IN,2052,1,C1SOV2P00,Globe,0.80860110087
IN,2052,1,C1WDOFP00,Globe,7.2842861952
IN,2052,1,C1WDONP00,Globe,8.960828256000001
IN,2052,1,CEMPLANT,Globe,5.4381800089
IN,2052,1,FERTPLANT,Globe,0.00021543244396299998
IN,2052,1,LA,Globe,2991.27116635
IN,2052,1,LA1,Globe,175.612681823
IN,2052,1,LA1_i,Globe,876.2727164400001
IN,2052,1,LA1_i_PROD,Globe,876.2727164400001
IN,2052,1,LA1_PROD,Globe,175.612681823
IN,2052,1,LA2,Globe,1939.38572684
IN,2052,1,LA2_PROD,Globe,1939.38572684
IN,2052,1,LandRes,Globe,6211.4966386
IN,2052,1,LF,Globe,1432.85556391
IN,2052,1,LF1,Globe,837.24320099
IN,2052,1,LF2,Globe,595.61236292
IN,2052,1,LF2_PROD,Globe,595.61236292
IN,2052,1,LO,Globe,1787.37
IN,2052,1,MFOOFACTOR,Globe,3.4908943358099997
IN,2052,1,PAPPLANT,Globe,3.63913229575
IN,2052,1,PETAPLANT,Globe,3.9292742346500005e-06
IN,2052,1,PETBPLANT,Globe,34.5254292104
IN,2052,1,STEPLANT,Globe,16.9299622238
IN,2052,1,VFOOFACTOR,Globe,45.0101498798
IN,2052,1,XALUMINE,Globe,4.4141847825300005
IN,2052,1,XCEMMINE,Globe,27.7890988693
IN,2052,1,XPHOMINE,Globe,6.8938384268e-07
IN,2052,1,XPOTMINE,Globe,1.50802712149e-07
IN,2052,1,XSTEMINE,Globe,26.054111642699997
IN,2053,1,ALUPLANT,Globe,3.8050036689999995
IN,2053,1,C1BMIGPCS,Globe,4.546119957379999
IN,2053,1,C1CO00I00,Globe,19.866583177499997
IN,2053,2,C1COHTF03,Globe,4.335884640000001
IN,2053,1,C1COSCPCS,Globe,4.9883264779
IN,2053,1,C1ELEFF00,Globe,53.879416212
IN,2053,1,C1ELRDF00,Globe,10.570783451499999
IN,2053,1,C1ELRLF00,Globe,2.67922193749
IN,2053,1,C1GOCVP00,Globe,1.60832415163
IN,2053,1,C1GOHTF03,Globe,31.604976164099998
IN,2053,1,C1HFMRF00,Globe,99.319654977
IN,2053,1,C1HTOOTFI,Globe,47.00146063
IN,2053,1,C1HTOOTFR,Globe,4.9094906285
IN,2053,1,C1HYDMP00,Globe,12.2502613821
IN,2053,1,C1HYMIP00,Globe,0.273912284741
IN,2053,1,C1LFRDF00,Globe,5.2313739671
IN,2053,1,C1NG00I00,Globe,64.224044654
IN,2053,1,C1NGBRFH1,Globe,9.0067127937
IN,2053,1,C1NGBRFN1,Globe,8.671769280000001
IN,2053,2,C1NGCCP00,Globe,1.9656010368
IN,2053,1,C1NGCCPCS,Globe,8.1767864897
IN,2053,1,C1NGHTF03,Globe,20.698733611399998
IN,2053,1,C1NGLP000,Globe,1.11475714169
IN,2053,1,C1NU00I00,Globe,29.966621034200003
IN,2053,1,C1NULWP00,Globe,11.098748259599999
IN,2053,1,C1OCCVP00,Globe,2.61505897506e-05
IN,2053,1,C1OI00I00,Globe,39.8513449679
IN,2053,1,C1OIRFP00,Globe,27.7525847334
IN,2053,2,C1OIRFP00,Globe,12.0987602345
IN,2053,1,C1SOV1P00,Globe,1.03662721178
IN,2053,1,C1SOV2P00,Globe,0.8591285842099999
IN,2053,1,C1WDOFP00,Globe,7.6485004133
IN,2053,1,C1WDONP00,Globe,8.960828256000001
IN,2053,1,CEMPLANT,Globe,5.4381800089
IN,2053,1,FERTPLANT,Globe,0.00021315004580100001
IN,2053,1,LA,Globe,2984.63791547
IN,2053,1,LA1,Globe,120.654839881
IN,2053,1,LA1_i,Globe,920.0863797599999
IN,2053,1,LA1_i_PROD,Globe,920.0863797599999
IN,2053,1,LA1_PROD,Globe,120.654839881
IN,2053,1,LA2,Globe,1943.89668208
IN,2053,1,LA2_PROD,Globe,1943.89668208
IN,2053,1,LandRes,Globe,6210.9434705
IN,2053,1,LF,Globe,1438.93560086
IN,2053,1,LF1,Globe,849.4552919399999
IN,2053,1,LF2,Globe,589.48030892
IN,2053,1,LF2_PROD,Globe,589.48030892
IN,2053,1,LO,Globe,1787.37
IN,2053,1,MFOOFACTOR,Globe,3.49901403691
IN,2053,1,PAPPLANT,Globe,3.63913229575
IN,2053,1,PETAPLANT,Globe,3.887645516579999e-06
IN,2053,1,PETBPLANT,Globe,34.5254292104
IN,2053,1,STEPLANT,Globe,16.9299622238
IN,2053,1,VFOOFACTOR,Globe,45.1154530125
IN,2053,1,XALUMINE,Globe,4.4141847825300005
IN,2053,1,XCEMMINE,Globe,27.7890988693
IN,2053,1,XPHOMINE,Globe,6.8208014473e-07
IN,2053,1,XPOTMINE,Globe,1.49205032519e-07
IN,2053,1,XSTEMINE,Globe,26.054111642699997
IN,2054,1,ALUPLANT,Globe,3.8050036689999995
IN,2054,1,C1BMIGPCS,Globe,4.546119957379999
IN,2054,1,C1CO00I00,Globe,19.8641642701
IN,2054,1,C1COCHP00,Globe,0.0307125162
IN,2054,1,C1COSCPCS,Globe,4.9883264779
IN,2054,1,C1ELEFF00,Globe,53.878261296
IN,2054,1,C1ELRDF00,Globe,12.106331808799998
IN,2054,1,C1ELRLF00,Globe,6.1586065271
IN,2054,1,C1GOCVP00,Globe,1.60832415163
IN,2054,1,C1GOHTF03,Globe,31.3911585906
IN,2054,1,C1HFMRF00,Globe,104.65000020400001
IN,2054,1,C1HTOOTFI,Globe,47.00146063
IN,2054,1,C1HTOOTFR,Globe,4.9094906285
IN,2054,1,C1HYDMP00,Globe,12.2502613821
IN,2054,1,C1HYMIP00,Globe,0.273912284741
IN,2054,1,C1LFRDF00,Globe,4.8319925567999995
IN,2054,1,C1NG00I00,Globe,64.798551202
IN,2054,1,C1NGBRFH1,Globe,9.0067127937
IN,2054,1,C1NGBRFN1,Globe,8.671769280000001
IN,2054,2,C1NGCCP00,Globe,1.3513507128
IN,2054,1,C1NGCCPCH,Globe,0.224225644411
IN,2054,2,C1NGCCPCH,Globe,0.72915947053
IN,2054,1,C1NGCCPCS,Globe,8.1767864897
IN,2054,2,C1NGGCPCH,Globe,0.650382696
IN,2054,1,C1NGHTF03,Globe,20.698733611399998
IN,2054,1,C1NGLP000,Globe,1.11475714169
IN,2054,1,C1NU00I00,Globe,32.0488860024
IN,2054,1,C1NULWP00,Globe,11.8699576259
IN,2054,1,C1OCCVP00,Globe,2.61505897506e-05
IN,2054,1,C1OI00I00,Globe,39.567390079
IN,2054,1,C1OIRFP00,Globe,32.465312506299995
IN,2054,2,C1OIRFP00,Globe,7.1020771144
IN,2054,1,C1SOV1P00,Globe,1.17862743374
IN,2054,1,C1SOV2P00,Globe,0.90965611338
IN,2054,1,C1WDOFP00,Globe,8.0127146314
IN,2054,1,C1WDONP00,Globe,8.960828256000001
IN,2054,1,CEMPLANT,Globe,5.4381800089
IN,2054,1,FERTPLANT,Globe,0.00021072152785
IN,2054,1,LA,Globe,2977.29118315
IN,2054,1,LA1,Globe,62.792865414000005
IN,2054,1,LA1_i,Globe,966.09067125
IN,2054,1,LA1_i_PROD,Globe,966.09067125
IN,2054,1,LA1_PROD,Globe,62.792865414000005
IN,2054,1,LA2,Globe,1948.40763732
IN,2054,1,LA2_PROD,Globe,1948.40763732
IN,2054,1,LandRes,Globe,6210.3307234
IN,2054,1,LF,Globe,1445.66958608
IN,2054,1,LF1,Globe,861.32553692
IN,2054,1,LF2,Globe,584.34404916
IN,2054,1,LF2_PROD,Globe,584.34404916
IN,2054,1,LO,Globe,1787.37
IN,2054,1,MFOOFACTOR,Globe,3.50713373801
IN,2054,1,PAPPLANT,Globe,3.63913229575
IN,2054,1,PETAPLANT,Globe,3.84335173818e-06
IN,2054,1,PETBPLANT,Globe,34.5254292104
IN,2054,1,STEPLANT,Globe,16.9299622238
IN,2054,1,VFOOFACTOR,Globe,45.2207561452
IN,2054,1,XALUMINE,Globe,4.4141847825300005
IN,2054,1,XCEMMINE,Globe,27.7890988693
IN,2054,1,XPHOMINE,Globe,6.7430888912e-07
IN,2054,1,XPOTMINE,Globe,1.47505069495e-07
IN,2054,1,XSTEMINE,Globe,26.054111642699997
IN,2055,1,ALUPLANT,Globe,3.8050036689999995
IN,2055,1,C1BMIGPCS,Globe,4.51789312289
IN,2055,1,C1CO00I00,Globe,22.8538930278
IN,2055,1,C1COSCPCS,Globe,5.8410073768999995
IN,2055,1,C1ELEFF00,Globe,53.705083475
IN,2055,1,C1ELRDF00,Globe,16.596999941
IN,2055,1,C1GOCVP00,Globe,1.60832415163
IN,2055,1,C1GOHTF03,Globe,30.8572711716
IN,2055,1,C1HFMRF00,Globe,94.92409967699999
IN,2055,1,C1HTOOTFI,Globe,46.451386055
IN,2055,1,C1HTOOTFR,Globe,4.9094906285
IN,2055,1,C1HYDMP00,Globe,12.2502613821
IN,2055,1,C1HYMIP00,Globe,0.273912284741
IN,2055,1,C1LFAVF00,Globe,0.9519105026099999
IN,2055,1,C1NG00I00,Globe,63.850974705
IN,2055,1,C1NGBRFH1,Globe,9.0067127937
IN,2055,1,C1NGBRFN1,Globe,8.671769280000001
IN,2055,1,C1NGCCPCS,Globe,8.1767864897
IN,2055,1,C1NGHTF03,Globe,20.896362653999997
IN,2055,1,C1NGLP000,Globe,0.70534684415
IN,2055,1,C1NU00I00,Globe,34.1311514289
IN,2055,1,C1NULWP00,Globe,12.641166992199999
IN,2055,1,C1OCCVP00,Globe,5.2301553473999995e-05
IN,2055,1,C1OI00I00,Globe,33.1329126167
IN,2055,1,C1OIRFP00,Globe,33.1329126167
IN,2055,1,C1SOV1P00,Globe,1.3206276556999998
IN,2055,1,C1SOV2P00,Globe,0.96018359672
IN,2055,1,C1WDOFP00,Globe,8.3769293078
IN,2055,1,C1WDONP00,Globe,8.960828256000001
IN,2055,1,CEMPLANT,Globe,5.5283789484999994
IN,2055,1,FERTPLANT,Globe,0.000208139584808
IN,2055,1,LA,Globe,2969.19535948
IN,2055,1,LA1,Globe,1.88155963268
IN,2055,1,LA1_i,Globe,1014.39521627
IN,2055,1,LA1_i_PROD,Globe,1014.39521627
IN,2055,1,LA1_PROD,Globe,1.88155963268
IN,2055,1,LA2,Globe,1952.9185925600002
IN,2055,1,LA2_PROD,Globe,1952.9185925600002
IN,2055,1,LandRes,Globe,6209.6556475
IN,2055,1,LF,Globe,1453.09024219
IN,2055,1,LF1,Globe,880.01702744
IN,2055,1,LF2,Globe,573.07316892
IN,2055,1,LF2_PROD,Globe,573.07316892
IN,2055,1,LO,Globe,1787.37
IN,2055,1,MFOOFACTOR,Globe,3.51525343911
IN,2055,1,PAPPLANT,Globe,3.63913229575
IN,2055,1,PETAPLANT,Globe,3.79625967164e-06
IN,2055,1,PETBPLANT,Globe,32.6670456254
IN,2055,1,STEPLANT,Globe,16.9299622238
