TIMESLICE,YEAR,TECHNOLOGY,REGION,MODE_OF_OPERATION,VALUE
ID,2012,C1OIRFP00,Globe,2,53.868687409
ID,2012,C1SOC1P00,Globe,1,0.041624492544000004
ID,2012,C1SOTHF00,Globe,1,0.5619306585099999
ID,2012,C1SOV1P00,Globe,1,0.30401777800799995
ID,2012,C1SOV2P00,Globe,1,0.23182529875199998
ID,2012,C1WDOFP00,Globe,1,0.0222170728037
ID,2012,C1WDONP00,Globe,1,0.7188550075
ID,2012,CEMPLANT,Globe,1,5.0292852072
ID,2012,FERTPLANT,Globe,1,0.00019393023620699999
ID,2012,LA,Globe,1,2546.89725347
ID,2012,LA1,Globe,1,762.99722609
ID,2012,LA1_i,Globe,1,183.900001565
ID,2012,LA1_i_PROD,Globe,1,183.900001565
ID,2012,LA1_PROD,Globe,1,762.99722609
ID,2012,LA2,Globe,1,1600.0000029
ID,2012,LA2_PROD,Globe,1,1600.0000029
ID,2012,LandRes,Globe,1,6163.9228071
ID,2012,LF,Globe,1,1833.2
ID,2012,LF1,Globe,1,588.9155
ID,2012,LF2,Globe,1,1244.2845
ID,2012,LF2_PROD,Globe,1,1244.2845
ID,2012,LO,Globe,1,1783.8255077999997
ID,2012,MFOOFACTOR,Globe,1,2.80767893615
ID,2012,PAPPLANT,Globe,1,3.0734755207499997
ID,2012,PETAPLANT,Globe,1,4.696747310200001e-06
ID,2012,PETBPLANT,Globe,1,19.573062651
ID,2012,STEPLANT,Globe,1,13.277602702599998
ID,2012,VFOOFACTOR,Globe,1,33.0195383627
ID,2012,XALUMINE,Globe,1,1.7928406812699997
ID,2012,XCEMMINE,Globe,1,21.112938735199997
ID,2012,XPHOMINE,Globe,1,6.2057660554e-07
ID,2012,XPOTMINE,Globe,1,1.3575116397000002e-07
ID,2012,XSTEMINE,Globe,1,20.433367828799998
ID,2013,ALUPLANT,Globe,1,2.0665105390600003
ID,2013,C1BFRDF00,Globe,1,0.274336335982
ID,2013,C1BMBRFH1,Globe,1,6.4946902912
ID,2013,C1BMBRFN1,Globe,1,1.011706416
ID,2013,C1BMCHP00,Globe,1,0.30523081103099997
ID,2013,C1BMHTF03,Globe,1,2.5084001909599998
ID,2013,C1BMLP000,Globe,1,3.0960933590299997
ID,2013,C1CO00I00,Globe,1,57.621041574
ID,2013,C1COBRFH1,Globe,1,3.1420710691200004
ID,2013,C1COCHP00,Globe,1,0.79516062843
ID,2013,C1COHTF03,Globe,1,18.255519812599996
ID,2013,C1COIGP00,Globe,1,0.04914002592
ID,2013,C1COSCP00,Globe,1,15.800859054700002
ID,2013,C1ELEFF00,Globe,1,38.7938772969
ID,2013,C1ELRLF00,Globe,1,1.58000002005
ID,2013,C1GOCVP00,Globe,1,0.108802225702
ID,2013,C1GOHTF03,Globe,1,3.1693303406499997
ID,2013,C1HFGCPCH,Globe,1,0.208593608869
ID,2013,C1HFMRF00,Globe,1,44.785076
ID,2013,C1HTOOTFI,Globe,1,41.150191457800005
ID,2013,C1HTOOTFR,Globe,1,3.29151202073
ID,2013,C1HYDMP00,Globe,1,5.4557585637
ID,2013,C1HYMIP00,Globe,1,0.446347412259
ID,2013,C1LFAVF00,Globe,1,0.23767437999999996
ID,2013,C1LFBRFH1,Globe,1,6.430116737800001
ID,2013,C1LFBRFN1,Globe,1,1.373030136
ID,2013,C1LFCCP00,Globe,1,0.48339087090999994
ID,2013,C1LFRDF00,Globe,1,10.2361575397
ID,2013,C1LFRLF00,Globe,1,3.377671
ID,2013,C1NG00I00,Globe,1,52.12676243699999
ID,2013,C1NGBRFH1,Globe,1,10.0043310677
ID,2013,C1NGBRFN1,Globe,1,1.8066185999999997
ID,2013,C1NGCCP00,Globe,1,6.7611614934
ID,2013,C1NGCCPCH,Globe,1,0.94574545101
ID,2013,C1NGGCP00,Globe,1,2.2670052399
ID,2013,C1NGGCPCH,Globe,1,0.9927510821699999
ID,2013,C1NGHTF03,Globe,1,9.595312524999999
ID,2013,C1NU00I00,Globe,1,8.6927158815
ID,2013,C1NULWP00,Globe,1,3.140432005
ID,2013,C1OCCVP00,Globe,1,0.0019077892416000002
ID,2013,C1OI00I00,Globe,1,77.61205091
ID,2013,C1OIHTF03,Globe,1,6.3371414168
ID,2013,C1OIRFP00,Globe,1,7.156420036899999
ID,2013,C1OIRFP00,Globe,2,66.47929770699999
ID,2013,C1SOC1P00,Globe,1,0.041624492544000004
ID,2013,C1SOTHF00,Globe,1,0.61049253898
ID,2013,C1SOV1P00,Globe,1,0.298959245928
ID,2013,C1SOV2P00,Globe,1,0.22835659104
ID,2013,C1WDOFP00,Globe,1,0.0223991801419
ID,2013,C1WDONP00,Globe,1,0.70008061051
ID,2013,CEMPLANT,Globe,1,5.0166865402
ID,2013,FERTPLANT,Globe,1,0.00019633672826
ID,2013,LA,Globe,1,2558.64733219
ID,2013,LA1,Globe,1,774.74735064
ID,2013,LA1_i,Globe,1,183.900001565
ID,2013,LA1_i_PROD,Globe,1,183.900001565
ID,2013,LA1_PROD,Globe,1,774.74735064
ID,2013,LA2,Globe,1,1600.0000029
ID,2013,LA2_PROD,Globe,1,1600.0000029
ID,2013,LandRes,Globe,1,6171.871562300001
ID,2013,LF,Globe,1,1829.39853899
ID,2013,LF1,Globe,1,588.9155
ID,2013,LF2,Globe,1,1240.48303899
ID,2013,LF2_PROD,Globe,1,1240.48303899
ID,2013,LO,Globe,1,1783.8255077999997
ID,2013,MFOOFACTOR,Globe,1,2.83899778325
ID,2013,PAPPLANT,Globe,1,3.0912844629600005
ID,2013,PETAPLANT,Globe,1,4.7143565711e-06
ID,2013,PETBPLANT,Globe,1,20.1679882972
ID,2013,STEPLANT,Globe,1,13.3712530995
ID,2013,VFOOFACTOR,Globe,1,33.5206802467
ID,2013,XALUMINE,Globe,1,1.8271518149
ID,2013,XCEMMINE,Globe,1,21.180450908199997
ID,2013,XPHOMINE,Globe,1,6.282773746100001e-07
ID,2013,XPOTMINE,Globe,1,1.37435709782e-07
ID,2013,XSTEMINE,Globe,1,20.5774894298
ID,2014,ALUPLANT,Globe,1,2.0818339828799997
ID,2014,C1BFRDF00,Globe,1,0.20899886980999996
ID,2014,C1BMBRFH1,Globe,1,7.3143383011
ID,2014,C1BMBRFN1,Globe,1,1.011706416
ID,2014,C1BMCHP00,Globe,1,0.35749368856799996
ID,2014,C1BMHTF03,Globe,1,1.9129953462799998
ID,2014,C1BMLP000,Globe,1,2.3406130320500003
ID,2014,C1CO00I00,Globe,1,74.54139508
ID,2014,C1COBRFH1,Globe,1,3.2894911468799997
ID,2014,C1COCHP00,Globe,1,0.7878744833699999
ID,2014,C1COHTF03,Globe,1,18.1292636622
ID,2014,C1COIGP00,Globe,1,0.040562233804799994
ID,2014,C1COSCP00,Globe,1,13.4349059282
ID,2014,C1ELEFF00,Globe,1,39.990473390400005
ID,2014,C1ELRLF00,Globe,1,0.8350000058099999
ID,2014,C1GOCVP00,Globe,1,0.128342185344
ID,2014,C1GOHTF03,Globe,1,3.2715115795799994
ID,2014,C1HFGCPCH,Globe,1,0.30205289925199996
ID,2014,C1HFMRF00,Globe,1,46.09123099999999
ID,2014,C1HTOOTFI,Globe,1,42.149731842
ID,2014,C1HTOOTFR,Globe,1,1.8815269558899999
ID,2014,C1HYDMP00,Globe,1,5.7458885868000005
ID,2014,C1HYMIP00,Globe,1,0.46139595399
ID,2014,C1LFAVF00,Globe,1,0.26430160999999996
ID,2014,C1LFBRFH1,Globe,1,6.013872178999999
ID,2014,C1LFBRFN1,Globe,1,1.589824368
ID,2014,C1LFCCP00,Globe,1,0.56047638095
ID,2014,C1LFRDF00,Globe,1,8.0488987913
ID,2014,C1LFRLF00,Globe,1,3.450999
ID,2014,C1NG00I00,Globe,1,53.353012832
ID,2014,C1NGBRFH1,Globe,1,10.132962587
ID,2014,C1NGBRFN1,Globe,1,2.1679423200000003
ID,2014,C1NGCCP00,Globe,1,7.3490352775
ID,2014,C1NGCCPCH,Globe,1,0.95541567267
ID,2014,C1NGGCP00,Globe,1,2.30275795618
ID,2014,C1NGGCPCH,Globe,1,1.0024081964499998
ID,2014,C1NGHTF03,Globe,1,9.2077758782
ID,2014,C1NU00I00,Globe,1,15.0169139897
ID,2014,C1NULWP00,Globe,1,5.4330369662999995
ID,2014,C1OCCVP00,Globe,1,0.0019077892416000002
ID,2014,C1OI00I00,Globe,1,77.88730589
ID,2014,C1OIHTF03,Globe,1,6.629502444299999
ID,2014,C1OIRFP00,Globe,1,20.378852127200002
ID,2014,C1OIRFP00,Globe,2,46.930703693
ID,2014,C1SOC1P00,Globe,1,0.041624492544000004
ID,2014,C1SOTHF00,Globe,1,0.65905446528
ID,2014,C1SOV1P00,Globe,1,0.294406567056
ID,2014,C1SOV2P00,Globe,1,0.224309765376
ID,2014,C1WDOFP00,Globe,1,0.0220436374181
ID,2014,C1WDONP00,Globe,1,0.6809420025099999
ID,2014,CEMPLANT,Globe,1,5.0303883353
ID,2014,FERTPLANT,Globe,1,0.00019875540192700001
ID,2014,LA,Globe,1,2570.45694408
ID,2014,LA1,Globe,1,786.5569167
ID,2014,LA1_i,Globe,1,183.900001565
ID,2014,LA1_i_PROD,Globe,1,183.900001565
ID,2014,LA1_PROD,Globe,1,786.5569167
ID,2014,LA2,Globe,1,1600.0000029
ID,2014,LA2_PROD,Globe,1,1600.0000029
ID,2014,LandRes,Globe,1,6172.6515889
ID,2014,LF,Globe,1,1820.8259
ID,2014,LF1,Globe,1,588.9155
ID,2014,LF2,Globe,1,1231.9104
ID,2014,LF2_PROD,Globe,1,1231.9104
ID,2014,LO,Globe,1,1781.3685615
ID,2014,MFOOFACTOR,Globe,1,2.8708966548299997
ID,2014,PAPPLANT,Globe,1,3.1089104976399997
ID,2014,PETAPLANT,Globe,1,4.7319575825999994e-06
ID,2014,PETBPLANT,Globe,1,20.7467726174
ID,2014,STEPLANT,Globe,1,13.4649034964
ID,2014,VFOOFACTOR,Globe,1,34.0243592795
ID,2014,XALUMINE,Globe,1,1.85622563362
ID,2014,XCEMMINE,Globe,1,21.3590288781
ID,2014,XPHOMINE,Globe,1,6.360171450099999e-07
ID,2014,XPOTMINE,Globe,1,1.39128779974e-07
ID,2014,XSTEMINE,Globe,1,20.7216110308
ID,2015,ALUPLANT,Globe,1,2.05858089497
ID,2015,C1BFRDF00,Globe,1,0.266734138076
ID,2015,C1BMBRFH1,Globe,1,5.960706170899999
ID,2015,C1BMBRFN1,Globe,1,1.5175596240000002
ID,2015,C1BMCHP00,Globe,1,0.346437182736
ID,2015,C1BMHTF03,Globe,1,2.70703731024
ID,2015,C1BMLP000,Globe,1,2.96410295903
ID,2015,C1CO00I00,Globe,1,77.22245008
ID,2015,C1COBRFH1,Globe,1,3.72597020064
ID,2015,C1COCHP00,Globe,1,0.8721429293099999
ID,2015,C1COHTF03,Globe,1,18.5685643774
ID,2015,C1COIGP00,Globe,1,0.04914002592
ID,2015,C1COSCP00,Globe,1,15.522390016800001
ID,2015,C1ELEFF00,Globe,1,41.1245931113
ID,2015,C1ELRLF00,Globe,1,0.90500001453
ID,2015,C1GOCVP00,Globe,1,0.10403019986699999
ID,2015,C1GOHTF03,Globe,1,2.68207897969
ID,2015,C1HFGCPCH,Globe,1,0.41078214526199996
ID,2015,C1HFMRF00,Globe,1,47.397386
ID,2015,C1HTOOTFI,Globe,1,43.1469527699
ID,2015,C1HTOOTFR,Globe,1,2.5225904880299996
ID,2015,C1HYDMP00,Globe,1,5.5317172057
ID,2015,C1HYMIP00,Globe,1,0.436174252179
ID,2015,C1LFAVF00,Globe,1,0.29322034
ID,2015,C1LFBRFH1,Globe,1,5.5990721817999995
ID,2015,C1LFBRFN1,Globe,1,1.951148088
ID,2015,C1LFCCP00,Globe,1,0.5684716077699999
ID,2015,C1LFRDF00,Globe,1,8.350468440699998
ID,2015,C1LFRLF00,Globe,1,3.515161
ID,2015,C1NG00I00,Globe,1,53.365964389999995
ID,2015,C1NGBRFH1,Globe,1,9.5403916862
