Model,Scenario,Region,Variable,Unit,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060
GLUCOSE,1.75DS,World,Final Energy|Industry|Electricity,EJ/yr,12.93801036,13.20974719,13.47469244,13.73268327,13.98398885,14.22890323,14.46767108,14.70052743,14.92771352,15.14947427,15.36598005,15.45483155,15.53848505,15.61718657,15.69100638,15.76019275,15.82477662,15.88498281,15.9409058,15.99267848,16.04041588,16.08425433,16.12424178,16.16057238,16.19324628,16.22246562,16.24822458,16.27067325,16.28986575,16.30591229,16.31885418,16.32880939,16.33579056,16.33994354,16.34123759,16.33985708,16.33574911,16.32906428,16.3197768,16.30802072,16.2937744,16.2937744,16.2937744,16.2937744,16.2937744,16.2937744,16.2937744,16.2937744,16.2937744,16.2937744,16.2937744
GLUCOSE,1.75DS,World,Final Energy|Other Sector|Electricity,EJ/yr,0.709120954,0.717684023,0.726466658,0.735029727,0.743812363,0.753780978,0.764637973,0.775368808,0.786225803,0.796956637,0.808033198,0.790926712,0.77420538,0.758573174,0.742935965,0.727999163,0.713608545,0.699557049,0.685908898,0.672446971,0.659785082,0.647005325,0.634720373,0.622773767,0.611035084,0.599366173,0.588101834,0.577084733,0.566216501,0.555355527,0.545015367,0.534454646,0.524184311,0.51386553,0.506023224,0.49927348,0.492847639,0.486608036,0.480522421,0.474463746,0.468695796,0.468695796,0.468695796,0.468695796,0.468695796,0.468695796,0.468695796,0.468695796,0.468695796,0.468695796,0.468695796
GLUCOSE,1.75DS,World,Final Energy|Residential and Commercial|Electricity,EJ/yr,47.2433,49.1212,50.9337,52.6825,54.3673,55.9893,58.96452863,60.92040535,62.849716,64.741276,66.637392,66.846276,67.053461,67.26564,67.477,67.687032,67.971123,68.25763,68.530638,68.794818,69.051852,70.31548,71.57652,72.833004,74.086574,75.330556,76.32535,77.321656,78.319474,79.316472,80.31602,82.32058,84.302552,86.306936,88.30783,90.311344,92.30057,94.293895,96.267669,98.237855,100.2103631,100.1504625,100.1116523,100.1052067,100.1063802,100.1010582,99.77995027,100.1052067,100.1341428,100.127502,100.1398183
GLUCOSE,1.75DS,World,Final Energy|Industry|Solids|Coal,EJ/yr,1.843259593,1.906131827,1.967718213,2.02805691,2.087204156,2.145191891,2.202074651,2.257879176,2.312653322,2.366423081,2.419232059,2.451637699,2.483346243,2.514368939,2.544738908,2.574486494,2.603612477,2.632149986,2.660124085,2.687536985,2.714433875,2.740804286,2.766684084,2.792074189,2.816999714,2.841475642,2.865514694,2.889123017,2.912324985,2.935116254,2.957535777,2.979566852,3.001234845,3.022550553,3.043518591,3.064154216,3.08446541,3.104448975,3.124140542,3.14351628,3.162616442,3.164928362,3.164928362,3.164928362,3.164928362,3.164928362,3.164928362,3.164928362,3.164928362,3.164928362,3.164928362
GLUCOSE,1.75DS,World,Final Energy|Other Sector|Solids|Coal,EJ/yr,0.376517008,0.381244893,0.386094005,0.390821889,0.395671001,0.401174923,0.407169341,0.413094103,0.419088521,0.425013282,0.431128928,0.420933691,0.410913591,0.401455434,0.391953152,0.382794153,0.373891115,0.365127434,0.356536175,0.347994946,0.33984001,0.331561797,0.323495667,0.315552183,0.307656124,0.299727847,0.291948665,0.284227996,0.276507629,0.268705282,0.261100203,0.253278545,0.245517676,0.237625541,0.232823593,0.229718005,0.226761446,0.223890576,0.221090557,0.218302933,0.215649073,0.215649073,0.215649073,0.215649073,0.215649073,0.215649073,0.215649073,0.215649073,0.215649073,0.215649073,0.215649073
GLUCOSE,1.75DS,World,Final Energy|Residential and Commercial|Solids|Coal,EJ/yr,9.508450896,12.45284107,14.87572841,14.46468819,12.72232128,9.43142095,0,0,0,0,1.998635517,0.066959407,0,0,0,0,2.829733277,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GLUCOSE,1.75DS,World,Final Energy|Solids|Coal,EJ/yr,11.7282275,14.74021779,17.22954063,16.88356699,15.20519644,11.97778776,2.609243992,2.670973278,2.731741843,2.791436363,4.848996504,2.939530797,2.894259835,2.915824373,2.93669206,2.957280647,5.807236869,2.99727742,3.016660261,3.035531931,3.054273884,3.072366082,3.090179751,3.107626372,3.124655838,3.141203489,3.157463359,3.173351013,3.188832615,3.203821536,3.21863598,3.232845398,3.246752521,3.260176094,3.276342184,3.293872221,3.311226856,3.328339551,3.345231099,3.361819213,3.378265515,3.380577435,3.380577435,3.380577435,3.380577435,3.380577435,3.380577435,3.380577435,3.380577435,3.380577435,3.380577435
GLUCOSE,1.75DS,World,Final Energy|Transportation|Electricity|Rail,EJ/yr,0.4980987,0.50486769,0.5131616,0.51965884,0.52602564,0.53388475,0.63185696,0.64200501,0.65036726,0.75331179,0.7638108,0.7810632,0.7983156,0.8139996,1.0398492,1.0602384,1.0837644,1.1088588,1.1339532,1.1590476,2.360442,2.4137676,2.4670932,2.5204188,2.5737444,2.62707,2.7164688,2.8058676,2.8952664,2.9846652,3.074064,3.1634628,3.2528616,3.3422604,3.4316592,3.521058,3.567510633,3.6998556,3.7892544,3.8786532,3.9664836,3.9664836,3.9664836,3.9664836,3.9664836,3.9664836,3.9664836,3.9664836,3.9664836,3.9664836,3.9664836
GLUCOSE,1.75DS,World,Final Energy|Transportation|Electricity|Road,EJ/yr,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.271652762,1.302624467,2.124861206,3.119244683,4.018804101,4.939310233,5.994523087,7.059391231,8.013842367,8.954626945,9.912334823,10.87663197,13.60042747,14.48130167,14.66995007,14.71224616,15.6090989,15.6090989,15.6090989,15.6090989,15.6090989,15.6090989,15.6090989,15.6090989,15.6090989,15.6090989,15.6090989
GLUCOSE,1.75DS,World,Final Energy|Transportation|Fossils|Rail,EJ/yr,3.469249,3.542854,3.616459,3.694971,3.763669,3.577203,3.650808,3.72932,3.513412,3.58211,3.660622,3.739134,3.822553,3.248434,3.322039,3.395644,3.464342,3.537947,3.606645,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.134364219,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
