Model,Scenario,Region,Variable,Unit,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060
GLUCOSE,TotalCCG,World,Primary Energy|Biomass,EJ/yr,36.42341982,36.54573395,36.67118434,36.72246176,36.59832917,36.20837826,35.61931158,35.10463061,34.51556393,34.00088295,33.40871296,34.66479892,35.88554745,36.99398429,38.14595732,39.26329073,40.28360744,41.34398498,42.37793597,43.38938684,44.31002431,45.27729501,46.22201425,47.08750559,47.99646771,48.89088496,49.76821351,50.57460666,51.42592369,52.26714915,53.03985357,53.86158625,54.67333264,55.4790665,56.07126506,56.6129555,57.14145038,57.60737092,58.11189873,58.60483509,59.08646626,59.08646626,59.08646626,59.08646626,59.08646626,59.08646626,59.08646626,59.08646626,59.08646626,59.08646626,59.08646626
GLUCOSE,TotalCCG,World,Primary Energy|Coal,EJ/yr,139.2476,140.3512,141.4548,142.5583,142.5583,142.5583,142.5583,141.5583,140.5583,139.5583,138.5583,134.5583,130.5583,126.5583,122.5583,119.7642132,122.1171092,123.864184,125.7231112,127.6468695,128.4189152,135.0231758,141.5085452,143.8649325,144.9991573,144.1367409,143.0778433,142.1252313,138.7883779,134.5470212,129.598489,125.0285917,122.0222266,118.5330567,115.3940541,113.0835392,112.0239617,111.0024228,109.9670521,109.1525847,109.2157359,106.486416,105.0153759,101.9835457,101.3765031,99.86074632,99.11352971,97.32510297,95.53184264,93.75729567,93.75729567
GLUCOSE,TotalCCG,World,Primary Energy|Gas,EJ/yr,108.0354,109.717,111.3986,113.0802,114.7618,116.4433,116.4433,116.4433,116.4433,116.4433,116.4433,116.4433,116.4433,113.4433,110.4433,107.4433,104.4433,101.4433,98.4433,95.4433,92.4433,89.4433,86.4433,83.4433,80.4433,77.4433,74.4433,71.4433,68.4433,65.4433,62.4433,59.4433,56.4433,53.4433,50.4433,47.4433,44.4433,41.4433,38.4433,35.4433,32.4433,32.4433,32.4433,32.4433,32.4433,32.4433,32.4433,32.4433,32.4433,32.4433,32.4433
GLUCOSE,TotalCCG,World,Primary Energy|Geothermal,EJ/yr,0.649389312,0.626683392,0.60170688,0.58424855,0.561391258,0.540855014,0.517997722,0.492869837,0.470012544,0.447155251,0.426619008,0.403761715,0.37863383,0.355776538,0.332919245,0.310061952,0.289525709,0.264397824,0.241540531,0.218683238,0.195825946,0.175289702,0.150161818,0.127304525,0.70946229,1.543497984,1.634018918,1.724539853,1.815060787,1.905581722,1.996102656,2.133044582,2.269986509,2.406928435,2.543870362,2.680812288,2.789901619,2.89899095,3.010401331,3.119490662,3.228579994,3.228579994,3.228579994,3.228579994,3.228579994,3.228579994,3.228579994,3.228579994,3.228579994,3.228579994,3.228579994
GLUCOSE,TotalCCG,World,Primary Energy|Hydro,EJ/yr,12.56120381,12.65172291,12.73454658,12.81255707,12.88429503,12.94976045,13.00625468,13.0592115,12.88008449,12.70237913,12.52325213,12.34412513,12.16499812,11.98587112,11.80674412,11.62903876,11.44991176,11.27078475,11.09165775,10.91253075,10.73340374,10.55569838,10.88092535,12.83426267,14.78759998,16.7409373,18.69427462,20.64903358,22.6023709,24.55570821,24.95409747,25.15597076,25.35784405,25.55971734,25.76301227,25.96488556,26.09994163,26.23499771,26.37005378,26.50510985,26.32740449,26.64158757,26.64158757,26.64158757,26.64158757,26.64158757,26.64158757,26.64158757,26.64158757,26.64158757,26.64158757
GLUCOSE,TotalCCG,World,Primary Energy|Nuclear,EJ/yr,11.22852968,9.094841634,4.902334131,2.476144706,2.419730987,2.364138029,2.308029192,9.805716431,15.52135982,19.20047835,23.75895422,23.13606458,22.50736478,21.88040692,21.26269903,20.63921404,20.017471,19.40494485,18.78667469,18.17014647,17.56280206,16.9748947,16.39442921,15.80652185,15.2186145,14.63814901,14.05024165,13.46233429,12.8818688,12.29396144,11.70605409,11.12558859,10.53768124,9.949773879,9.369308388,8.78140103,8.193493673,7.613028181,7.025120824,6.437213467,5.856747975,5.856747975,5.856747975,5.856747975,5.856747975,5.856747975,5.856747975,5.856747975,5.856747975,5.856747975,5.856747975
GLUCOSE,TotalCCG,World,Primary Energy|Oil,EJ/yr,167.5456,168.1463,168.747,169.3477,169.9483,170.549,170.549,170.549,170.549,170.549,170.549,167.549,164.549,161.549,158.549,155.549,152.549,149.549,146.549,143.549,140.549,137.549,134.549,131.549,128.549,125.549,122.549,119.549,116.549,113.549,110.549,107.549,104.549,101.549,98.549,95.549,92.549,89.549,86.549,83.549,80.549,80.549,80.549,80.549,80.549,80.549,80.549,80.549,80.549,80.549,80.549
GLUCOSE,TotalCCG,World,Primary Energy|Solar,EJ/yr,0.771861891,0.996553242,1.219825473,1.267163935,1.314439339,1.361777801,1.407634084,1.454972547,1.502311009,1.549586412,1.624651412,1.717740918,1.816954184,1.92080903,2.029242397,2.140961283,2.25867781,2.381098976,2.508161722,2.63838387,2.708619425,2.698809409,2.68903109,2.67783365,2.668023635,2.27149456,2.27149456,2.27149456,2.27149456,2.27149456,2.27149456,2.27149456,2.27149456,2.27149456,2.27149456,2.27149456,2.27149456,2.27149456,2.27149456,3.644606023,9.774382,9.774382,9.774382,9.774382,9.774382,9.774382,9.774382,9.774382,9.774382,9.774382,9.774382
GLUCOSE,TotalCCG,World,Primary Energy|Wind,EJ/yr,1.308491712,1.265684746,1.22174879,1.178162885,1.132609133,1.08657288,1.040587085,0.992605061,0.94502039,0.894543869,0.845354016,0.792537523,0.73719815,0.683580643,0.628323264,0.573907896,0.518193245,0.461728037,0.406114301,0.348844925,0.291518784,0.23470668,0.176229475,0.11861951,0.058410979,,0.060300792,0.346871662,2.581024249,5.428222577,10.47657482,16.91990416,22.37003269,27.83728613,33.3387859,38.76630909,43.825124,49.66141788,56.07401157,60.72207046,60.91858201,64.43233075,67.47541439,70.70870424,72.26416107,74.67082423,76.31142214,77.22835345,78.13807316,79.04331634,79.04331634
GLUCOSE,TotalCCG,World,Secondary Energy|Electricity,EJ/yr,77.83416651,80.24570603,82.52487092,85.08921489,87.15935179,90.16618066,94.54715838,97.41560726,100.093888,102.837916,105.3525677,105.8449597,107.4011803,110.2493639,111.5858276,112.4481217,113.4372235,113.7819442,114.7087446,115.3936228,117.2362191,119.0878575,118.4035215,120.566376,125.184998,129.6777579,134.104604,137.7072438,138.9715734,140.819664,142.9771518,146.486938,149.768707,153.2717199,156.6133514,159.721115,162.8295163,165.6289878,168.20078,171.4873288,174.3504312,173.4300062,172.560785,171.9238962,171.4238186,170.7815234,170.2757964,170.2636843,170.2564382,170.2476958,170.2476958
GLUCOSE,TotalCCG,World,"Secondary Energy|Electricity|Coal, w/o CCS",EJ/yr,34.84726979,37.57168168,39.61736101,44.04883678,45.99275281,48.87582639,52.1844467,50.79978314,49.15847836,48.37782152,47.01064031,45.5634083,42.55028033,40.63300041,37.75101022,34.84556884,34.1436908,33.99186436,32.47340882,32.24993346,33.07752908,34.29503327,37.35077185,38.40369391,36.56647106,35.32092093,35.10320214,32.99095168,29.71649925,27.69821673,26.76917331,25.83766378,24.9092836,23.97777407,23.04873066,22.11722113,21.18884094,20.25733141,19.328288,18.39677847,17.46839829,14.27547991,11.91308191,9.593271106,7.512383867,4.95924496,2.805513916,1.876470502,0.944960973,0.01658079,0.01658079
GLUCOSE,TotalCCG,World,Secondary Energy|Electricity|Non-Biomass Renewables,EJ/yr,14.3593164,14.56861369,14.76766746,14.79157191,14.80177396,14.80760508,14.80071224,14.78976794,14.54713717,14.30297313,14.08878477,13.83893125,13.58803704,13.33886469,13.08798941,12.83802172,12.58901022,12.33699017,12.08582159,11.83151519,11.59202617,11.34305659,11.59306488,13.47063165,15.95200233,18.28443529,20.38859433,22.72044509,26.99845593,31.88951251,37.42677495,44.20891951,49.99786325,55.80393191,61.64566853,67.41200693,72.71496725,78.79540653,85.45446669,91.71978244,97.97745394,101.8053858,104.8484694,108.0817592,109.6372161,112.0438792,113.6844771,114.6014085,115.5111282,116.4163713,116.4163713
GLUCOSE,TotalCCG,World,Secondary Energy|Electricity|Solar,EJ/yr,0.233043976,0.401440918,0.56841874,0.559462793,0.550443787,0.541487841,0.531049715,0.522093769,0.513137822,0.504118816,0.522889407,0.511942537,0.502477847,0.493013157,0.483485407,0.472601597,0.463073847,0.453609157,0.444144466,0.433197597,0.437124864,0.427314849,0.417536529,0.40633909,0.396529074,,,,,,,,,,,,,,,1.373111462,7.50288744,7.50288744,7.50288744,7.50288744,7.50288744,7.50288744,7.50288744,7.50288744,7.50288744,7.50288744,7.50288744
GLUCOSE,TotalCCG,World,Secondary Energy|Electricity|Wind,EJ/yr,1.308491712,1.265684746,1.22174879,1.178162885,1.132609133,1.08657288,1.040587085,0.992605061,0.94502039,0.894543869,0.845354016,0.792537523,0.73719815,0.683580643,0.628323264,0.573907896,0.518193245,0.461728037,0.406114301,0.348844925,0.291518784,0.23470668,0.176229475,0.11861951,0.058410979,,0.060300792,0.346871662,2.581024249,5.428222577,10.47657482,16.91990416,22.37003269,27.83728613,33.3387859,38.76630909,43.825124,49.66141788,56.07401157,60.72207046,60.91858201,64.43233075,67.47541439,70.70870424,72.26416107,74.67082423,76.31142214,77.22835345,78.13807316,79.04331634,79.04331634
GLUCOSE,TotalCCG,World,Secondary Energy|Liquids|Coal,EJ/yr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.794617423,1.332530105,1.96656836,2.966571146,4.622371146,6.278171146,7.933971146,9.589771146,11.24557115,12.90137115,14.40004751,15.09860178,16.75440178,18.41020178,20.06600178,20.06600178,20.06600178,20.07276123,20.07276123
