TIMESLICE,YEAR,REGION,TECHNOLOGY,MODE_OF_OPERATION,VALUE
ID,2011,Globe,C1WDOFP00,1,0.010351502262836064
ID,2011,Globe,C1WDONP00,1,0.7141664496441601
ID,2011,Globe,CEMPLANT,1,4.98882443127585
ID,2011,Globe,FERTPLANT,1,7.193491333569156e-05
ID,2011,Globe,LA1_i_PROD,1,350.90201627166607
ID,2011,Globe,MFOOFACTOR,1,5.551560143834821
ID,2011,Globe,PAPPLANT,1,2.9955214178125966
ID,2011,Globe,PETAPLANT,1,1.7573347457637567e-06
ID,2011,Globe,PETBPLANT,1,7.468405789420657
ID,2011,Globe,STEPLANT,1,12.490178745851619
ID,2011,Globe,XALUMINE,1,1.0784406137149545
ID,2011,Globe,XCEMMINE,1,20.823353176145396
ID,2011,Globe,XPHOMINE,1,2.30191722674213e-07
ID,2011,Globe,XPOTMINE,1,5.035443933498409e-08
ID,2011,Globe,XSTEMINE,1,19.221510777353433
ID,2011,Globe,ALURECYCLE,1,44.061468719736844
ID,2011,Globe,LA,1,3550.9020162716656
ID,2011,Globe,LA1_i,1,350.90201627166624
ID,2011,Globe,LA2,1,3200.0
ID,2011,Globe,LA2_PROD,1,3200.0
ID,2011,Globe,LandRes,1,6862.100403199373
ID,2011,Globe,LF,1,3273.6711412854334
ID,2011,Globe,LF1,1,1947.8399999999997
ID,2011,Globe,LF2,1,1325.831141285434
ID,2011,Globe,LF2_PROD,1,1325.8311412854334
ID,2012,Globe,ALUPLANT,1,1.3744639900758786
ID,2012,Globe,ALURCPLANT,1,13.5028929
ID,2012,Globe,C1BFRDF00,1,0.27805061
ID,2012,Globe,C1BMBRFH1,1,0.32438038989244006
ID,2012,Globe,C1BMBRFN1,1,0.24814843852097482
ID,2012,Globe,C1BMCHP00,1,1.119164090328
ID,2012,Globe,C1BMHTF03,1,6.389186687828314
ID,2012,Globe,C1BMLP000,1,3.162086192446808
ID,2012,Globe,C1CO00I00,1,64.11096039619288
ID,2012,Globe,C1COBRFH1,1,5.30712279936
ID,2012,Globe,C1COCHP00,1,1.4738744237088957
ID,2012,Globe,C1COHTF03,1,21.100931744336624
ID,2012,Globe,C1COIGP00,1,0.007291911599999999
ID,2012,Globe,C1COLP000,1,1.55822
ID,2012,Globe,C1COSCP00,1,15.201530352052933
ID,2012,Globe,C1COSF000,1,1.2374100000000001
ID,2012,Globe,C1ELEFF00,1,34.588835906025416
ID,2012,Globe,C1ELRDF00,1,0.05399283702742939
ID,2012,Globe,C1ELRLF00,1,3.0999999999999996
ID,2012,Globe,C1GOCVP00,1,0.629147741184
ID,2012,Globe,C1GOHTF03,1,0.5744067955199998
ID,2012,Globe,C1HFGCPCH,1,0.2296914509382192
ID,2012,Globe,C1HFMRF00,1,14.722867304262882
ID,2012,Globe,C1HPASF01,1,2.22
ID,2012,Globe,C1HTOOTFI,1,28.750332863093412
ID,2012,Globe,C1HTOOTFR,1,15.805607404882547
ID,2012,Globe,C1HYDMP00,1,5.254450337842273
ID,2012,Globe,C1HYMIP00,1,0.4361742520128
ID,2012,Globe,C1LFBRFN1,1,3.2570559066897857
ID,2012,Globe,C1LFRDF00,1,8.939285555580657
ID,2012,Globe,C1NG00I00,1,28.429630643246494
ID,2012,Globe,C1NGBRFN1,1,8.96958974131025
ID,2012,Globe,C1NGCCP00,1,2.446138112380302
ID,2012,Globe,C1NGCCPCH,1,1.677727309824
ID,2012,Globe,C1NGGCPCH,1,1.3237187119200002
ID,2012,Globe,C1NGHTF03,1,1.6123255582305842
ID,2012,Globe,C1NU00I00,1,11.285691190497598
ID,2012,Globe,C1NULWP00,1,4.071317168289176
