TIMESLICE,YEAR,REGION,TECHNOLOGY,MODE_OF_OPERATION,VALUE
ID,2013,Globe,C1NG00I00,1,52.126762437
ID,2013,Globe,C1NGBRFH1,1,10.004331067699999
ID,2013,Globe,C1NGBRFN1,1,1.8066186
ID,2013,Globe,C1NGCCP00,1,6.7611614934
ID,2013,Globe,C1NGCCPCH,1,0.94574545101
ID,2013,Globe,C1NGGCP00,1,2.2670052399
ID,2013,Globe,C1NGGCPCH,1,0.9927510821699999
ID,2013,Globe,C1NGHTF03,1,9.595312524999999
ID,2013,Globe,C1NU00I00,1,8.6927158815
ID,2013,Globe,C1NULWP00,1,3.140432005
ID,2013,Globe,C1OCCVP00,1,0.0019077892415999998
ID,2013,Globe,C1OI00I00,1,77.61205091
ID,2013,Globe,C1OIHTF03,1,6.3371414168
ID,2013,Globe,C1OIRFP00,1,7.156420036899999
ID,2013,Globe,C1OIRFP00,2,66.47929770699999
ID,2013,Globe,C1SOC1P00,1,0.041624492544000004
ID,2013,Globe,C1SOTHF00,1,0.61049253898
ID,2013,Globe,C1SOV1P00,1,0.298959245928
ID,2013,Globe,C1SOV2P00,1,0.22835659104
ID,2013,Globe,C1WDOFP00,1,0.0223991801419
ID,2013,Globe,C1WDONP00,1,0.70008061051
ID,2013,Globe,CEMPLANT,1,5.0166865402
ID,2013,Globe,FERTPLANT,1,0.00019633672826
ID,2013,Globe,LA,1,2558.64733219
ID,2013,Globe,LA1,1,774.74735064
ID,2013,Globe,LA1_i,1,183.900001565
ID,2013,Globe,LA1_i_PROD,1,183.900001565
ID,2013,Globe,LA1_PROD,1,774.74735064
ID,2013,Globe,LA2,1,1600.0000029
ID,2013,Globe,LA2_PROD,1,1600.0000029
ID,2013,Globe,LandRes,1,6171.8715623
ID,2013,Globe,LF,1,1829.39853899
ID,2013,Globe,LF1,1,588.9155
ID,2013,Globe,LF2,1,1240.48303899
ID,2013,Globe,LF2_PROD,1,1240.48303899
ID,2013,Globe,LO,1,1783.8255078
ID,2013,Globe,MFOOFACTOR,1,2.83899778325
ID,2013,Globe,PAPPLANT,1,3.09128446296
ID,2013,Globe,PETAPLANT,1,4.7143565711e-06
ID,2013,Globe,PETBPLANT,1,20.1679882972
ID,2013,Globe,STEPLANT,1,13.371253099499999
ID,2013,Globe,VFOOFACTOR,1,33.5206802467
ID,2013,Globe,XALUMINE,1,1.8271518149
ID,2013,Globe,XCEMMINE,1,21.1804509082
ID,2013,Globe,XPHOMINE,1,6.2827737461e-07
ID,2013,Globe,XPOTMINE,1,1.37435709782e-07
ID,2013,Globe,XSTEMINE,1,20.5774894298
ID,2014,Globe,ALUPLANT,1,2.08183398288
ID,2014,Globe,C1BFRDF00,1,0.20899886981
ID,2014,Globe,C1BMBRFH1,1,7.314338301099999
ID,2014,Globe,C1BMBRFN1,1,1.011706416
ID,2014,Globe,C1BMCHP00,1,0.35749368856799996
ID,2014,Globe,C1BMHTF03,1,1.9129953462799998
ID,2014,Globe,C1BMLP000,1,2.3406130320500003
ID,2014,Globe,C1CO00I00,1,74.54139508
ID,2014,Globe,C1COBRFH1,1,3.2894911468799997
ID,2014,Globe,C1COCHP00,1,0.78787448337
ID,2014,Globe,C1COHTF03,1,18.1292636622
ID,2014,Globe,C1COIGP00,1,0.040562233804799994
ID,2014,Globe,C1COSCP00,1,13.4349059282
ID,2014,Globe,C1ELEFF00,1,39.9904733904
ID,2014,Globe,C1ELRLF00,1,0.8350000058099999
ID,2014,Globe,C1GOCVP00,1,0.128342185344
ID,2014,Globe,C1GOHTF03,1,3.27151157958
ID,2014,Globe,C1HFGCPCH,1,0.30205289925199996
ID,2014,Globe,C1HFMRF00,1,46.09123099999999
ID,2014,Globe,C1HTOOTFI,1,42.149731842
ID,2014,Globe,C1HTOOTFR,1,1.8815269558899999
ID,2014,Globe,C1HYDMP00,1,5.7458885868
ID,2014,Globe,C1HYMIP00,1,0.46139595399
ID,2014,Globe,C1LFAVF00,1,0.26430160999999996
ID,2014,Globe,C1LFBRFH1,1,6.013872179
ID,2014,Globe,C1LFBRFN1,1,1.589824368
ID,2014,Globe,C1LFCCP00,1,0.56047638095
ID,2014,Globe,C1LFRDF00,1,8.0488987913
ID,2014,Globe,C1LFRLF00,1,3.450999
ID,2014,Globe,C1NG00I00,1,53.353012832
ID,2014,Globe,C1NGBRFH1,1,10.132962587
ID,2014,Globe,C1NGBRFN1,1,2.1679423200000003
ID,2014,Globe,C1NGCCP00,1,7.3490352775
ID,2014,Globe,C1NGCCPCH,1,0.95541567267
ID,2014,Globe,C1NGGCP00,1,2.30275795618
ID,2014,Globe,C1NGGCPCH,1,1.00240819645
ID,2014,Globe,C1NGHTF03,1,9.2077758782
ID,2014,Globe,C1NU00I00,1,15.0169139897
ID,2014,Globe,C1NULWP00,1,5.4330369662999995
ID,2014,Globe,C1OCCVP00,1,0.0019077892415999998
ID,2014,Globe,C1OI00I00,1,77.88730589
ID,2014,Globe,C1OIHTF03,1,6.629502444299999
ID,2014,Globe,C1OIRFP00,1,20.3788521272
