VALUE,BM,CO,EL,GO,HF,HY,LF,NG,NU,OC,OI,SO,WD,BMCS,COCS,NGCS
2035,0.2840853818368093,1.1276687982453373,0,0.0966,0.18,1.7733077653932334,0.0054,0.6351476037350764,1.7198000000000004,0.0386999999999999,0,4.5676003000000005,2.727,0.4060499662905197,0.4060499662905195,0.4060499662905196
2036,0.2840853818368093,1.1276687982453373,0,0.0966,0.16,1.7902077653932333,0.0043,0.5351476037350764,1.8139000000000003,0.0456999999999999,0,4.8984003000000005,2.9219999999999997,0.4060499662905197,0.4060499662905195,0.4060499662905196
2037,0.2840853818368093,1.1276687982453373,0,0.0966,0.14,1.8071077653932335,0.0033,0.4351476037350764,1.9080000000000008,0.0526999999999999,0,5.2293003,3.129,0.4060499662905197,0.4060499662905195,0.4060499662905196
2038,0.2840853818368093,1.1276687982453373,0,0.0966,0.12,1.8241077653932334,0.0022,0.3351476037350764,2.0022000000000006,0.0595999999999999,0,5.5601003,3.348,0.4060499662905197,0.4060499662905195,0.4060499662905196
2039,0.2840853818368093,1.1704692182013703,0,0.0966,0.1,1.8410077653932335,0.0011,0.2351476037350764,2.0963,0.0665999999999999,0,5.891000299999999,3.5810000000000004,0.4060499662905197,0.4060499662905195,0.4060499662905196
2040,0.2840853818368093,1.2704692182013704,0,0.0966,0.08,1.8579077653932334,0.0,0.1351476037350764,2.1903999999999995,0.0735999999999999,0,6.2218003,3.828,0.4060499662905197,0.4060499662905195,0.4060499662905196
2041,0.2840853818368093,1.3704692182013705,0,0.0966,0.06,1.8729077653932333,0.0,0.0351476037350764,2.2846,0.0853999999999999,0,6.559900299999999,4.091000000000001,0.4060499662905197,0.4060499662905195,0.4060499662905196
2042,0.2840853818368093,1.4704692182013703,0,0.0978,0.04,1.8879077653932332,0.0,0.0351476037350764,2.3787,0.0972,0,6.898000299999999,4.368,0.4060499662905197,0.4060499662905195,0.4060499662905196
2043,0.2840853818368093,1.5704692182013704,0,0.1037,0.02,1.9029077653932334,0.0,0.0,2.4727999999999994,0.1091,0,7.2126213,4.664,0.4060499662905197,0.4060499662905195,0.4060499662905196
2044,0.2840853818368093,1.6704692182013705,0,0.1096,0.0,1.9179077653932333,0.0,0.0,2.5669999999999997,0.1209,0,7.5458663,4.977,0.4060499662905197,0.4060499662905195,0.4060499662905196
2045,0.2240853818368093,1.7704692182013704,0,0.1155,0.0,1.932907765393233,0.0,0.0,2.661099999999999,0.1327,0,7.7797623,5.309,0.4060499662905197,0.4060499662905195,0.4060499662905196
2046,0.1640853818368093,1.8704692182013707,0,0.1202,0.0,1.943207765393233,0.0,0.0,2.755199999999999,0.1519,0,8.060000299999999,5.661,0.4060499662905197,0.4060499662905195,0.4060499662905196
2047,0.1305694518591254,1.9704692182013708,0,0.1249,0.0,1.9535077653932333,0.0,0.0,2.8494,0.1710999999999999,0,8.1884,6.0360000000000005,0.4060499662905197,0.4060499662905195,0.4060499662905196
2048,0.1305694518591254,2.070469218201371,0,0.1296999999999999,0.0,1.9638077653932335,0.0,0.0,2.9435,0.1902999999999999,0,8.2452,6.431999999999998,0.4060499662905197,0.4060499662905195,0.4060499662905196
2049,0.1276648183332157,2.1704692182013705,0,0.1343999999999999,0.0,1.9741077653932335,0.0,0.0,3.0375999999999994,0.2094999999999999,0,8.3021,6.852999999999998,0.4060499662905197,0.4060499662905195,0.4060499662905196
2050,0.0676648183332157,2.1204692182013707,0,0.1390999999999999,0.0,1.9844077653932335,0.0,0.0,3.1317999999999997,0.2286999999999999,0,8.359,7.299999999999997,0.4060499662905197,0.4060499662905195,0.4060499662905196
