REGION,TECHNOLOGY,FUEL,MODE_OF_OPERATION,YEAR,VALUE
Globe,C1LFBRFH1,C1_P_LFO,1,2060,1.33
Globe,C1LFBRFN1,C1_P_LFO,1,2010,1.16
Globe,C1LFBRFN1,C1_P_LFO,1,2011,1.16
Globe,C1LFBRFN1,C1_P_LFO,1,2012,1.16
Globe,C1LFBRFN1,C1_P_LFO,1,2013,1.16
Globe,C1LFBRFN1,C1_P_LFO,1,2014,1.16
Globe,C1LFBRFN1,C1_P_LFO,1,2015,1.16
Globe,C1LFBRFN1,C1_P_LFO,1,2016,1.16
Globe,C1LFBRFN1,C1_P_LFO,1,2017,1.16
Globe,C1LFBRFN1,C1_P_LFO,1,2018,1.16
Globe,C1LFBRFN1,C1_P_LFO,1,2019,1.16
Globe,C1LFBRFN1,C1_P_LFO,1,2020,1.16
Globe,C1LFBRFN1,C1_P_LFO,1,2021,1.16
Globe,C1LFBRFN1,C1_P_LFO,1,2022,1.16
Globe,C1LFBRFN1,C1_P_LFO,1,2023,1.16
Globe,C1LFBRFN1,C1_P_LFO,1,2024,1.16
Globe,C1LFBRFN1,C1_P_LFO,1,2025,1.16
Globe,C1LFBRFN1,C1_P_LFO,1,2026,1.16
Globe,C1LFBRFN1,C1_P_LFO,1,2027,1.16
Globe,C1LFBRFN1,C1_P_LFO,1,2028,1.16
Globe,C1LFBRFN1,C1_P_LFO,1,2029,1.16
Globe,C1LFBRFN1,C1_P_LFO,1,2030,1.16
Globe,C1LFBRFN1,C1_P_LFO,1,2031,1.16
Globe,C1LFBRFN1,C1_P_LFO,1,2032,1.16
Globe,C1LFBRFN1,C1_P_LFO,1,2033,1.16
Globe,C1LFBRFN1,C1_P_LFO,1,2034,1.16
Globe,C1LFBRFN1,C1_P_LFO,1,2035,1.16
Globe,C1LFBRFN1,C1_P_LFO,1,2036,1.16
Globe,C1LFBRFN1,C1_P_LFO,1,2037,1.16
Globe,C1LFBRFN1,C1_P_LFO,1,2038,1.16
Globe,C1LFBRFN1,C1_P_LFO,1,2039,1.16
Globe,C1LFBRFN1,C1_P_LFO,1,2040,1.16
Globe,C1LFBRFN1,C1_P_LFO,1,2041,1.16
Globe,C1LFBRFN1,C1_P_LFO,1,2042,1.16
Globe,C1LFBRFN1,C1_P_LFO,1,2043,1.16
Globe,C1LFBRFN1,C1_P_LFO,1,2044,1.16
Globe,C1LFBRFN1,C1_P_LFO,1,2045,1.16
Globe,C1LFBRFN1,C1_P_LFO,1,2046,1.16
Globe,C1LFBRFN1,C1_P_LFO,1,2047,1.16
Globe,C1LFBRFN1,C1_P_LFO,1,2048,1.16
Globe,C1LFBRFN1,C1_P_LFO,1,2049,1.16
Globe,C1LFBRFN1,C1_P_LFO,1,2050,1.16
Globe,C1LFBRFN1,C1_P_LFO,1,2051,1.16
Globe,C1LFBRFN1,C1_P_LFO,1,2052,1.16
Globe,C1LFBRFN1,C1_P_LFO,1,2053,1.16
Globe,C1LFBRFN1,C1_P_LFO,1,2054,1.16
Globe,C1LFBRFN1,C1_P_LFO,1,2055,1.16
Globe,C1LFBRFN1,C1_P_LFO,1,2056,1.16
Globe,C1LFBRFN1,C1_P_LFO,1,2057,1.16
Globe,C1LFBRFN1,C1_P_LFO,1,2058,1.16
Globe,C1LFBRFN1,C1_P_LFO,1,2059,1.16
Globe,C1LFBRFN1,C1_P_LFO,1,2060,1.16
Globe,C1LFCCP00,C1_P_LFO,1,2010,1.86
Globe,C1LFCCP00,C1_P_LFO,1,2011,1.86
Globe,C1LFCCP00,C1_P_LFO,1,2012,1.86
Globe,C1LFCCP00,C1_P_LFO,1,2013,1.86
Globe,C1LFCCP00,C1_P_LFO,1,2014,1.86
Globe,C1LFCCP00,C1_P_LFO,1,2015,1.86
Globe,C1LFCCP00,C1_P_LFO,1,2016,1.86
Globe,C1LFCCP00,C1_P_LFO,1,2017,1.86
Globe,C1LFCCP00,C1_P_LFO,1,2018,1.86
Globe,C1LFCCP00,C1_P_LFO,1,2019,1.86
Globe,C1LFCCP00,C1_P_LFO,1,2020,1.86
Globe,C1LFCCP00,C1_P_LFO,1,2021,1.86
Globe,C1LFCCP00,C1_P_LFO,1,2022,1.86
Globe,C1LFCCP00,C1_P_LFO,1,2023,1.86
Globe,C1LFCCP00,C1_P_LFO,1,2024,1.86
Globe,C1LFCCP00,C1_P_LFO,1,2025,1.86
Globe,C1LFCCP00,C1_P_LFO,1,2026,1.86
Globe,C1LFCCP00,C1_P_LFO,1,2027,1.86
Globe,C1LFCCP00,C1_P_LFO,1,2028,1.86
Globe,C1LFCCP00,C1_P_LFO,1,2029,1.86
Globe,C1LFCCP00,C1_P_LFO,1,2030,1.86
Globe,C1LFCCP00,C1_P_LFO,1,2031,1.86
Globe,C1LFCCP00,C1_P_LFO,1,2032,1.86
Globe,C1LFCCP00,C1_P_LFO,1,2033,1.86
Globe,C1LFCCP00,C1_P_LFO,1,2034,1.86
Globe,C1LFCCP00,C1_P_LFO,1,2035,1.86
Globe,C1LFCCP00,C1_P_LFO,1,2036,1.86
