TIMESLICE,YEAR,MODE_OF_OPERATION,TECHNOLOGY,REGION,VALUE
ID,2012,1,PETAPLANT,Globe,4.625505746751704e-06
ID,2012,1,PETBPLANT,Globe,19.573062721098974
ID,2012,1,STEPLANT,Globe,12.170250734416951
ID,2012,1,VFOOFACTOR,Globe,33.02461304237504
ID,2012,1,XALUMINE,Globe,1.64783751228991
ID,2012,1,XCEMMINE,Globe,21.001883535595095
ID,2012,1,XPHOMINE,Globe,6.111636762964451e-07
ID,2012,1,XPOTMINE,Globe,1.3369205418984736e-07
ID,2012,1,XSTEMINE,Globe,18.729224813969957
ID,2013,1,ALUPLANT,Globe,1.933817213103884
ID,2013,1,C1BFRDF00,Globe,0.27433633705378985
ID,2013,1,C1BMBRFH1,Globe,6.55795942254482
ID,2013,1,C1BMCHP00,Globe,0.369778695048
ID,2013,1,C1BMHTF03,Globe,3.06836103024
ID,2013,1,C1BMLP000,Globe,3.0960933588349784
ID,2013,1,C1CO00I00,Globe,65.53853892014413
ID,2013,1,C1COBRFH1,Globe,4.9843357871063905
ID,2013,1,C1COCHP00,Globe,1.1091550402713062
ID,2013,1,C1COHTF03,Globe,22.0094413339635
ID,2013,1,C1COIGP00,Globe,0.010140558479999997
ID,2013,1,C1COSCP00,Globe,16.459286705603468
ID,2013,1,C1ELEFF00,Globe,27.88801188740293
ID,2013,1,C1GOCVP00,Globe,0.12024853401599998
ID,2013,1,C1GOHTF03,Globe,0.21823952687999998
ID,2013,1,C1HFGCPCH,Globe,0.08780166396
ID,2013,1,C1HFMRF00,Globe,41.79696
ID,2013,1,C1HTOOTFI,Globe,34.95976074410303
ID,2013,1,C1HTOOTFR,Globe,11.05680551582628
ID,2013,1,C1HYDMP00,Globe,5.590270808359775
ID,2013,1,C1HYMIP00,Globe,0.4015607294592
ID,2013,1,C1LFCCP00,Globe,0.299436626826864
ID,2013,1,C1LFRDF00,Globe,9.0624242
ID,2013,1,C1NG00I00,Globe,51.824655660000005
ID,2013,1,C1NGBRFH1,Globe,4.94596231942541
ID,2013,1,C1NGBRFN1,Globe,8.687089737785097
ID,2013,1,C1NGCCP00,Globe,5.915664208583999
ID,2013,1,C1NGCCPCH,Globe,0.9573633285119999
ID,2013,1,C1NGGCP00,Globe,1.0920017969002604
ID,2013,1,C1NGGCPCH,Globe,0.89752812048
ID,2013,1,C1NGHTF03,Globe,11.308763002490158
ID,2013,1,C1OI00I00,Globe,77.61205091
ID,2013,1,C1OIHTF03,Globe,4.8925121552364885
ID,2013,1,C1OIRFP00,Globe,17.811200063176525
ID,2013,2,C1OIRFP00,Globe,35.717737834367746
ID,2013,1,C1SOC1P00,Globe,0.00650382696
ID,2013,1,C1SOTHF00,Globe,0.6104925573119998
ID,2013,1,C1SOV1P00,Globe,0.29845339272
ID,2013,1,C1SOV2P00,Globe,0.227778473088
ID,2013,1,C1WDOFP00,Globe,0.0047998242964800006
ID,2013,1,C1WDONP00,Globe,0.53515222580736
ID,2013,1,CEMPLANT,Globe,5.0166865774327
ID,2013,1,FERTPLANT,Globe,0.00018071565559658285
ID,2013,1,LA,Globe,2348.0997833979654
ID,2013,1,LA1,Globe,709.4325433979656
ID,2013,1,LA1_i,Globe,172.1072399999996
ID,2013,1,LA1_i_PROD,Globe,172.1072399999996
