TIMESLICE,YEAR,TECHNOLOGY,MODE_OF_OPERATION,REGION,VALUE
ID,2011,C1NGGCP00,1,Globe,1.35579507705
ID,2011,C1NGGCPCH,1,Globe,0.8525358470499999
ID,2011,C1NGHTF03,1,Globe,8.974002089499999
ID,2011,C1NU00I00,1,Globe,15.953225931
ID,2011,C1NULWP00,1,Globe,5.746839101
ID,2011,C1OCCVP00,1,Globe,0.0019077892416000002
ID,2011,C1OI00I00,1,Globe,77.06144929
ID,2011,C1OIHTF03,1,Globe,6.899837573799999
ID,2011,C1OIRFP00,1,Globe,14.265336362200001
ID,2011,C1OIRFP00,2,Globe,54.13036296
ID,2011,C1SOC1P00,1,Globe,0.042925257935999994
ID,2011,C1SOTHF00,1,Globe,0.51336873221
ID,2011,C1SOV1P00,1,Globe,0.21296420056799997
ID,2011,C1SOV2P00,1,Globe,0.162451144512
ID,2011,C1WDOFP00,1,Globe,0.022559607598600002
ID,2011,C1WDONP00,1,Globe,0.73726514765
ID,2011,CEMPLANT,1,Globe,5.228279067199999
ID,2011,FERTPLANT,1,Globe,0.000191372775551
ID,2011,LA,1,Globe,2534.4099992
ID,2011,LA1,1,Globe,750.5100176499999
ID,2011,LA1_i,1,Globe,183.900001565
ID,2011,LA1_i_PROD,1,Globe,183.900001565
ID,2011,LA1_PROD,1,Globe,750.5100176499999
ID,2011,LA2,1,Globe,1600.0000029
ID,2011,LA2_PROD,1,Globe,1600.0000029
ID,2011,LandRes,1,Globe,6151.435507
ID,2011,LF,1,Globe,1833.2
ID,2011,LF1,1,Globe,588.9155
ID,2011,LF2,1,Globe,1244.2845
ID,2011,LF2_PROD,1,Globe,1244.2845
ID,2011,LO,1,Globe,1783.8255077999997
ID,2011,MFOOFACTOR,1,Globe,2.7780999791700003
ID,2011,PAPPLANT,1,Globe,3.0554699220099995
ID,2011,PETAPLANT,1,Globe,4.6751435065e-06
ID,2011,PETBPLANT,1,Globe,18.9610983274
ID,2011,STEPLANT,1,Globe,13.183952305699998
ID,2011,VFOOFACTOR,1,Globe,32.517127445999996
ID,2011,XALUMINE,1,Globe,1.7014098771000001
ID,2011,XCEMMINE,1,Globe,21.8228362692
ID,2011,XPHOMINE,1,Globe,6.1239274244e-07
ID,2011,XPOTMINE,1,Globe,1.3396094334399998e-07
ID,2011,XSTEMINE,1,Globe,20.2892457695
ID,2012,ALUPLANT,1,Globe,2.04495265702
ID,2012,C1BFRDF00,1,Globe,0.27805061
ID,2012,C1BMBRFH1,1,Globe,8.4179086606
ID,2012,C1BMBRFN1,1,Globe,1.011706416
ID,2012,C1BMCHP00,1,Globe,0.227588425244
ID,2012,C1BMLP000,1,Globe,3.16208855903
ID,2012,C1CO00I00,1,Globe,69.17928508
ID,2012,C1COBRFH1,1,Globe,2.99465099136
ID,2012,C1COCHP00,1,Globe,0.9224001989699999
ID,2012,C1COHTF03,1,Globe,18.0791934706
ID,2012,C1COIGP00,1,Globe,0.029167646479
ID,2012,C1COSCP00,1,Globe,12.070224185
ID,2012,C1ELEFF00,1,Globe,37.5577652025
ID,2012,C1GOCVP00,1,Globe,0.135279600768
ID,2012,C1GOHTF03,1,Globe,2.26649684771
ID,2012,C1HFGCPCH,1,Globe,0.17380610447
ID,2012,C1HFMRF00,1,Globe,43.474337999999996
ID,2012,C1HTOOTFI,1,Globe,40.1484975219
ID,2012,C1HTOOTFR,1,Globe,1.8301724702000002
ID,2012,C1HYDMP00,1,Globe,5.6605971236
ID,2012,C1HYMIP00,1,Globe,0.47203332614
ID,2012,C1LFAVF00,1,Globe,0.21778416
ID,2012,C1LFBRFH1,1,Globe,6.844916734999999
ID,2012,C1LFBRFN1,1,Globe,1.1562359039999999
ID,2012,C1LFCCP00,1,Globe,0.411437294278
ID,2012,C1LFRDF00,1,Globe,8.531067971899999
ID,2012,C1LFRLF00,1,Globe,3.0001570075600004
ID,2012,C1NG00I00,1,Globe,51.235992225
ID,2012,C1NGBRFH1,1,Globe,9.874254528500002
ID,2012,C1NGBRFN1,1,Globe,1.4452948799999998
ID,2012,C1NGCCP00,1,Globe,6.1829715883
ID,2012,C1NGCCPCH,1,Globe,1.1180801375
ID,2012,C1NGGCP00,1,Globe,2.08820856924
ID,2012,C1NGGCPCH,1,Globe,1.10239866972
ID,2012,C1NGHTF03,1,Globe,9.4450020408
ID,2012,C1NU00I00,1,Globe,15.6427423466
ID,2012,C1NULWP00,1,Globe,5.6431248944
ID,2012,C1OCCVP00,1,Globe,0.0019077892416000002
ID,2012,C1OI00I00,1,Globe,77.3367501
ID,2012,C1OIHTF03,1,Globe,7.0573749907
ID,2012,C1OIRFP00,1,Globe,17.4429731612
ID,2012,C1OIRFP00,2,Globe,50.935260348
ID,2012,C1SOC1P00,1,Globe,0.041624492544000004
ID,2012,C1SOTHF00,1,Globe,0.5619306585099999
ID,2012,C1SOV1P00,1,Globe,0.30401777800799995
ID,2012,C1SOV2P00,1,Globe,0.23182529875199998
ID,2012,C1WDOFP00,1,Globe,0.0222170728037
ID,2012,C1WDONP00,1,Globe,0.7188550075
ID,2012,CEMPLANT,1,Globe,5.0292852072
ID,2012,FERTPLANT,1,Globe,0.00019380687559599998
ID,2012,LA,1,Globe,2546.29490978
ID,2012,LA1,1,Globe,762.39492823
ID,2012,LA1_i,1,Globe,183.900001565
ID,2012,LA1_i_PROD,1,Globe,183.900001565
ID,2012,LA1_PROD,1,Globe,762.39492823
ID,2012,LA2,1,Globe,1600.0000029
ID,2012,LA2_PROD,1,Globe,1600.0000029
ID,2012,LandRes,1,Globe,6163.3206009
ID,2012,LF,1,Globe,1833.2
ID,2012,LF1,1,Globe,588.9155
ID,2012,LF2,1,Globe,1244.2845
ID,2012,LF2_PROD,1,Globe,1244.2845
ID,2012,LO,1,Globe,1783.8255077999997
ID,2012,MFOOFACTOR,1,Globe,2.8070989575
ID,2012,PAPPLANT,1,Globe,3.0734755207499997
ID,2012,PETAPLANT,1,Globe,4.6937596525e-06
ID,2012,PETBPLANT,1,Globe,19.573062651
ID,2012,STEPLANT,1,Globe,13.277602702599998
ID,2012,VFOOFACTOR,1,Globe,33.0246131186
ID,2012,XALUMINE,1,Globe,1.7928406812699997
ID,2012,XCEMMINE,1,Globe,21.112938735199997
ID,2012,XPHOMINE,1,Globe,6.201818717499999e-07
ID,2012,XPOTMINE,1,Globe,1.35664815667e-07
ID,2012,XSTEMINE,1,Globe,20.433367828799998
ID,2013,ALUPLANT,1,Globe,2.0665105390600003
ID,2013,C1BFRDF00,1,Globe,0.274336335982
ID,2013,C1BMBRFH1,1,Globe,6.339760601299999
ID,2013,C1BMBRFN1,1,Globe,1.011706416
ID,2013,C1BMCHP00,1,Globe,0.369778695048
ID,2013,C1BMHTF03,1,Globe,2.52368541256
ID,2013,C1BMLP000,1,Globe,3.0960933590299997
ID,2013,C1CO00I00,1,Globe,71.86034007999999
ID,2013,C1COBRFH1,1,Globe,3.1420710691200004
ID,2013,C1COCHP00,1,Globe,0.79516062843
ID,2013,C1COHTF03,1,Globe,18.2364682816
ID,2013,C1COIGP00,1,Globe,0.040562233804799994
ID,2013,C1COSCP00,1,Globe,12.59229663
ID,2013,C1ELEFF00,1,Globe,38.7935372383
ID,2013,C1GOCVP00,1,Globe,0.131810893056
ID,2013,C1GOHTF03,1,Globe,3.28149184119
ID,2013,C1HFGCPCH,1,Globe,0.23413777055999999
ID,2013,C1HFMRF00,1,Globe,44.785076
ID,2013,C1HTOOTFI,1,Globe,41.150191457800005
ID,2013,C1HTOOTFR,1,Globe,3.44644175646
ID,2013,C1HYDMP00,1,Globe,5.7047094152
ID,2013,C1HYMIP00,1,Globe,0.46671461715
ID,2013,C1LFAVF00,1,Globe,0.23767437999999996
ID,2013,C1LFBRFH1,1,Globe,6.430116737800001
ID,2013,C1LFBRFN1,1,Globe,1.373030136
ID,2013,C1LFCCP00,1,Globe,0.48339087090999994
ID,2013,C1LFRDF00,1,Globe,10.0630860443
ID,2013,C1LFRLF00,1,Globe,3.570157
ID,2013,C1NG00I00,1,Globe,51.82465566
ID,2013,C1NGBRFH1,1,Globe,10.0043310677
ID,2013,C1NGBRFN1,1,Globe,1.8066185999999997
ID,2013,C1NGCCP00,1,Globe,6.7611614934
ID,2013,C1NGCCPCH,1,Globe,0.94574545101
ID,2013,C1NGGCP00,1,Globe,2.4439083066200005
ID,2013,C1NGGCPCH,1,Globe,0.9927510821699999
ID,2013,C1NGHTF03,1,Globe,8.9015366101
ID,2013,C1NU00I00,1,Globe,15.3294081362
ID,2013,C1NULWP00,1,Globe,5.5380807012
ID,2013,C1OCCVP00,1,Globe,0.0019077892416000002
ID,2013,C1OI00I00,1,Globe,77.61205091
ID,2013,C1OIHTF03,1,Globe,6.935834289
ID,2013,C1OIRFP00,1,Globe,11.4792994978
ID,2013,C1OIRFP00,2,Globe,62.379478813999995
ID,2013,C1SOC1P00,1,Globe,0.041624492544000004
ID,2013,C1SOTHF00,1,Globe,0.61049253898
ID,2013,C1SOV1P00,1,Globe,0.298959245928
ID,2013,C1SOV2P00,1,Globe,0.22835659104
ID,2013,C1WDOFP00,1,Globe,0.0223991801419
ID,2013,C1WDONP00,1,Globe,0.70008061051
ID,2013,CEMPLANT,1,Globe,5.0166865402
ID,2013,FERTPLANT,1,Globe,0.00019618012256700002
ID,2013,LA,1,Globe,2557.8827044699997
ID,2013,LA1,1,Globe,773.98272292
ID,2013,LA1_i,1,Globe,183.900001565
ID,2013,LA1_i_PROD,1,Globe,183.900001565
ID,2013,LA1_PROD,1,Globe,773.98272292
ID,2013,LA2,1,Globe,1600.0000029
ID,2013,LA2_PROD,1,Globe,1600.0000029
ID,2013,LandRes,1,Globe,6171.807400300001
ID,2013,LF,1,Globe,1830.0994171799998
ID,2013,LF1,1,Globe,588.9155
ID,2013,LF2,1,Globe,1241.1839171799998
ID,2013,LF2_PROD,1,Globe,1241.1839171799998
ID,2013,LO,1,Globe,1783.8255077999997
ID,2013,MFOOFACTOR,1,Globe,2.8418976765
ID,2013,PAPPLANT,1,Globe,3.0912844629600005
ID,2013,PETAPLANT,1,Globe,4.7105962196e-06
ID,2013,PETBPLANT,1,Globe,20.1679882972
ID,2013,STEPLANT,1,Globe,13.3712530995
ID,2013,VFOOFACTOR,1,Globe,33.519411214
ID,2013,XALUMINE,1,Globe,1.8271518149
ID,2013,XCEMMINE,1,Globe,21.180450908199997
ID,2013,XPHOMINE,1,Globe,6.2777626939e-07
ID,2013,XPOTMINE,1,Globe,1.37326089005e-07
ID,2013,XSTEMINE,1,Globe,20.5774894298
ID,2014,ALUPLANT,1,Globe,2.0818339828799997
ID,2014,C1BFRDF00,1,Globe,0.20899886980999996
ID,2014,C1BMBRFH1,1,Globe,6.6124981393999995
ID,2014,C1BMBRFN1,1,Globe,1.011706416
ID,2014,C1BMCHP00,1,Globe,0.35749368856799996
ID,2014,C1BMHTF03,1,Globe,2.88769917024
ID,2014,C1BMLP000,1,Globe,2.3406130320500003
ID,2014,C1CO00I00,1,Globe,74.54139508
ID,2014,C1COBRFH1,1,Globe,3.2894911468799997
ID,2014,C1COCHP00,1,Globe,0.7878744833699999
ID,2014,C1COHTF03,1,Globe,18.2928813452
ID,2014,C1COIGP00,1,Globe,0.040562233804799994
ID,2014,C1COSCP00,1,Globe,13.354664931
ID,2014,C1ELEFF00,1,Globe,39.9901667877
ID,2014,C1GOCVP00,1,Globe,0.128342185344
ID,2014,C1GOHTF03,1,Globe,3.06216119367
ID,2014,C1HFGCPCH,1,Globe,0.30205289925199996
ID,2014,C1HFMRF00,1,Globe,46.09123099999999
ID,2014,C1HTOOTFI,1,Globe,42.149731842
ID,2014,C1HTOOTFR,1,Globe,2.58336702593
ID,2014,C1HYDMP00,1,Globe,5.7458885868000005
ID,2014,C1HYMIP00,1,Globe,0.46139595399
ID,2014,C1LFAVF00,1,Globe,0.26430160999999996
ID,2014,C1LFBRFH1,1,Globe,6.013872178999999
ID,2014,C1LFBRFN1,1,Globe,1.589824368
ID,2014,C1LFCCP00,1,Globe,0.56047638095
ID,2014,C1LFRDF00,1,Globe,9.605716851599999
ID,2014,C1LFRLF00,1,Globe,3.3101569938
ID,2014,C1NG00I00,1,Globe,53.24231505
ID,2014,C1NGBRFH1,1,Globe,10.132962587
ID,2014,C1NGBRFN1,1,Globe,2.1679423200000003
ID,2014,C1NGCCP00,1,Globe,7.3490352775
ID,2014,C1NGCCPCH,1,Globe,0.95541567267
ID,2014,C1NGGCP00,1,Globe,2.2462848552799994
ID,2014,C1NGGCPCH,1,Globe,1.0024081964499998
ID,2014,C1NGHTF03,1,Globe,9.227333830700001
ID,2014,C1NU00I00,1,Globe,15.0169139897
ID,2014,C1NULWP00,1,Globe,5.4330369662999995
ID,2014,C1OCCVP00,1,Globe,0.0019077892416000002
ID,2014,C1OI00I00,1,Globe,78.41613826
ID,2014,C1OIHTF03,1,Globe,6.438961011200001
ID,2014,C1OIRFP00,1,Globe,12.7161884107
ID,2014,C1OIRFP00,2,Globe,59.359025165999995
ID,2014,C1SOC1P00,1,Globe,0.041624492544000004
ID,2014,C1SOTHF00,1,Globe,0.65905446528
ID,2014,C1SOV1P00,1,Globe,0.294406567056
ID,2014,C1SOV2P00,1,Globe,0.224309765376
ID,2014,C1WDOFP00,1,Globe,0.0220436374181
ID,2014,C1WDONP00,1,Globe,0.6809420025099999
ID,2014,CEMPLANT,1,Globe,5.0303883353
ID,2014,FERTPLANT,1,Globe,0.00019861422261200002
ID,2014,LA,1,Globe,2569.7676150499997
ID,2014,LA1,1,Globe,785.8675876699999
ID,2014,LA1_i,1,Globe,183.900001565
ID,2014,LA1_i_PROD,1,Globe,183.900001565
ID,2014,LA1_PROD,1,Globe,785.8675876699999
ID,2014,LA2,1,Globe,1600.0000029
ID,2014,LA2_PROD,1,Globe,1600.0000029
ID,2014,LandRes,1,Globe,6172.6515889
ID,2014,LF,1,Globe,1820.8259
ID,2014,LF1,1,Globe,588.9155
ID,2014,LF2,1,Globe,1231.9104
ID,2014,LF2_PROD,1,Globe,1231.9104
ID,2014,LO,1,Globe,1782.05789053
ID,2014,MFOOFACTOR,1,Globe,2.8708966548299997
ID,2014,PAPPLANT,1,Globe,3.1089104976399997
ID,2014,PETAPLANT,1,Globe,4.7285964104e-06
ID,2014,PETBPLANT,1,Globe,20.7467726174
ID,2014,STEPLANT,1,Globe,13.4649034964
ID,2014,VFOOFACTOR,1,Globe,34.0268968866
ID,2014,XALUMINE,1,Globe,1.85622563362
ID,2014,XCEMMINE,1,Globe,21.3590288781
ID,2014,XPHOMINE,1,Globe,6.355653986999999e-07
ID,2014,XPOTMINE,1,Globe,1.3902995674500001e-07
ID,2014,XSTEMINE,1,Globe,20.7216110308
ID,2015,ALUPLANT,1,Globe,2.05858089497
ID,2015,C1BFRDF00,1,Globe,0.177426417822
ID,2015,C1BMBRFH1,1,Globe,7.1346682023
ID,2015,C1BMBRFN1,1,Globe,1.10428769066
ID,2015,C1BMCHP00,1,Globe,0.28596375070700003
ID,2015,C1BMHTF03,1,Globe,2.70703731024
ID,2015,C1BMLP000,1,Globe,1.9716642999700005
ID,2015,C1CO00I00,1,Globe,77.22245008
ID,2015,C1COBRFH1,1,Globe,3.72597020064
ID,2015,C1COCHP00,1,Globe,0.8721429293099999
ID,2015,C1COHTF03,1,Globe,18.60817158
ID,2015,C1COIGP00,1,Globe,0.04914002592
ID,2015,C1COSCP00,1,Globe,15.502830231099999
ID,2015,C1ELEFF00,1,Globe,41.12419576519999
ID,2015,C1ELRLF00,1,Globe,3.2199999886499997
ID,2015,C1GOCVP00,1,Globe,0.126029713536
ID,2015,C1GOHTF03,1,Globe,2.47870331339
ID,2015,C1HFGCPCH,1,Globe,0.365966285251
ID,2015,C1HFMRF00,1,Globe,47.397386
ID,2015,C1HTOOTFI,1,Globe,43.1469527699
ID,2015,C1HTOOTFR,1,Globe,1.75210711476
ID,2015,C1HYDMP00,1,Globe,5.6552418881
ID,2015,C1HYMIP00,1,Globe,0.456077254166
ID,2015,C1LFAVF00,1,Globe,0.29322034
ID,2015,C1LFBRFH1,1,Globe,5.5990721817999995
ID,2015,C1LFBRFN1,1,Globe,1.951148088
ID,2015,C1LFCCP00,1,Globe,0.68868763915
ID,2015,C1LFRDF00,1,Globe,10.1291362403
ID,2015,C1LFRLF00,1,Globe,3.4501570112399995
ID,2015,C1NG00I00,1,Globe,53.365964389999995
ID,2015,C1NGBRFH1,1,Globe,9.5501846406
ID,2015,C1NGBRFN1,1,Globe,2.673795528
ID,2015,C1NGCCP00,1,Globe,6.648925656599999
ID,2015,C1NGCCPCH,1,Globe,1.21289145413
ID,2015,C1NGGCP00,1,Globe,2.2034796811099997
ID,2015,C1NGGCPCH,1,Globe,1.01303099466
ID,2015,C1NGHTF03,1,Globe,10.0024648701
ID,2015,C1NU00I00,1,Globe,14.708929973500002
ID,2015,C1NULWP00,1,Globe,5.3293223013999995
ID,2015,C1OCCVP00,1,Globe,0.0019077892416000002
ID,2015,C1OI00I00,1,Globe,78.55302330399999
ID,2015,C1OIHTF03,1,Globe,5.887734728299999
ID,2015,C1OIRFP00,1,Globe,8.673821089099999
ID,2015,C1OIRFP00,2,Globe,65.197973401
ID,2015,C1SOC1P00,1,Globe,0.041624492544000004
ID,2015,C1SOTHF00,1,Globe,0.7076163915800001
ID,2015,C1SOV1P00,1,Globe,0.289348034976
ID,2015,C1SOV2P00,1,Globe,0.22084105766399997
ID,2015,C1WDOFP00,1,Globe,0.022221408779999997
ID,2015,C1WDONP00,1,Globe,0.66104898688
ID,2015,CEMPLANT,1,Globe,5.0439347667
ID,2015,FERTPLANT,1,Globe,0.000201377015417
ID,2015,LA,1,Globe,2594.3105424799996
ID,2015,LA1,1,Globe,799.35741902
ID,2015,LA1_i,1,Globe,183.900001565
ID,2015,LA1_i_PROD,1,Globe,183.900001565
ID,2015,LA1_PROD,1,Globe,799.35741902
ID,2015,LA2,1,Globe,1611.05309898
ID,2015,LA2_PROD,1,Globe,1611.05309898
ID,2015,LandRes,1,Globe,6172.6515889
ID,2015,LF,1,Globe,1820.8259
ID,2015,LF1,1,Globe,588.9155
ID,2015,LF2,1,Globe,1231.9104
ID,2015,LF2_PROD,1,Globe,1231.9104
ID,2015,LO,1,Globe,1757.5149631
ID,2015,MFOOFACTOR,1,Globe,2.8998955873299996
ID,2015,PAPPLANT,1,Globe,3.1263466586299993
ID,2015,PETAPLANT,1,Globe,4.7540531422e-06
ID,2015,PETBPLANT,1,Globe,21.309864745600002
ID,2015,STEPLANT,1,Globe,13.558553435
ID,2015,VFOOFACTOR,1,Globe,34.5343821009
ID,2015,XALUMINE,1,Globe,1.85084432085
ID,2015,XCEMMINE,1,Globe,21.5376008901
ID,2015,XPHOMINE,1,Globe,6.4440632651e-07
ID,2015,XPOTMINE,1,Globe,1.40963914e-07
ID,2015,XSTEMINE,1,Globe,20.8657321735
ID,2016,ALUPLANT,1,Globe,2.0917280382600003
ID,2016,C1BFRDF00,1,Globe,0.15338817493499998
ID,2016,C1BMBRFH1,1,Globe,6.7885499597
ID,2016,C1BMBRFN1,1,Globe,1.6824056426600003
ID,2016,C1BMCHP00,1,Globe,0.334152176256
ID,2016,C1BMHTF03,1,Globe,2.52637545024
ID,2016,C1BMLP000,1,Globe,1.69125541566
ID,2016,C1CO00I00,1,Globe,76.25705946199999
ID,2016,C1COBRFH1,1,Globe,4.162449254399999
ID,2016,C1COCHP00,1,Globe,0.8633984278199999
ID,2016,C1COHTF03,1,Globe,19.0721114198
ID,2016,C1COIGP00,1,Globe,0.04914002592
ID,2016,C1COSCP00,1,Globe,19.0668505941
ID,2016,C1ELEFF00,1,Globe,42.4956287257
ID,2016,C1ELRLF00,1,Globe,3.2199999886499997
ID,2016,C1GOCVP00,1,Globe,0.10116698436600001
ID,2016,C1GOHTF03,1,Globe,1.9336902494200001
ID,2016,C1HFGCPCH,1,Globe,0.47500113945
ID,2016,C1HFMRF00,1,Globe,48.703540999999994
ID,2016,C1HTOOTFI,1,Globe,44.188893695199994
ID,2016,C1HTOOTFR,1,Globe,1.9427596397799998
ID,2016,C1HYDMP00,1,Globe,5.5642560474
ID,2016,C1HYMIP00,1,Globe,0.43108767213899996
ID,2016,C1LFAVF00,1,Globe,0.32461389
ID,2016,C1LFBRFH1,1,Globe,4.8438629851
ID,2016,C1LFBRFN1,1,Globe,2.3124718079999997
ID,2016,C1LFCCP00,1,Globe,0.68099731932
ID,2016,C1LFRDF00,1,Globe,10.3775508808
ID,2016,C1LFRLF00,1,Globe,3.570157
ID,2016,C1NG00I00,1,Globe,53.777737773999995
ID,2016,C1NGBRFH1,1,Globe,8.9576137398
ID,2016,C1NGBRFN1,1,Globe,3.179648736
ID,2016,C1NGCCP00,1,Globe,7.2506185606
ID,2016,C1NGCCPCH,1,Globe,1.0724250706100003
ID,2016,C1NGGCP00,1,Globe,1.8587018285199997
ID,2016,C1NGGCPCH,1,Globe,1.0709736803399998
ID,2016,C1NGHTF03,1,Globe,10.6214718898
ID,2016,C1NU00I00,1,Globe,8.2362660386
ID,2016,C1NULWP00,1,Globe,2.98848543563
ID,2016,C1OCCVP00,1,Globe,0.0019077892416000002
ID,2016,C1OI00I00,1,Globe,78.702722416
ID,2016,C1OIHTF03,1,Globe,6.6324117327
ID,2016,C1OIRFP00,1,Globe,14.553058018799998
ID,2016,C1OIRFP00,2,Globe,60.97444100599999
ID,2016,C1SOC1P00,1,Globe,0.040323727152
ID,2016,C1SOTHF00,1,Globe,0.75617827205
ID,2016,C1SOV1P00,1,Globe,0.284795356104
ID,2016,C1SOV2P00,1,Globe,0.21679423199999998
ID,2016,C1WDOFP00,1,Globe,0.0223991801419
