TIMESLICE,YEAR,MODE_OF_OPERATION,REGION,TECHNOLOGY,VALUE
ID,2012,1,Globe,C1GOHTF03,0.22835659104
ID,2012,1,Globe,C1HFGCPCH,0.5518801070647199
ID,2012,1,Globe,C1HFMRF00,41.017849999999996
ID,2012,1,Globe,C1HTOOTFI,35.613964026154285
ID,2012,1,Globe,C1HTOOTFR,14.617147670360943
ID,2012,1,Globe,C1HYDMP00,5.306337602534593
ID,2012,1,Globe,C1HYMIP00,0.38912338517760003
ID,2012,1,Globe,C1LFCCP00,0.294992778659328
ID,2012,1,Globe,C1LFRDF00,8.79133975
ID,2012,1,Globe,C1LFRLF00,3.9596106088403236
ID,2012,1,Globe,C1NG00I00,51.05397838000002
ID,2012,1,Globe,C1NGBRFH1,4.949438757388269
ID,2012,1,Globe,C1NGBRFN1,4.469773979543922
ID,2012,1,Globe,C1NGCCP00,4.559508627675588
ID,2012,1,Globe,C1NGCCPCH,0.9064257991043008
ID,2012,1,Globe,C1NGGCP00,1.4764638214160541
ID,2012,1,Globe,C1NGGCPCH,3.57208626864974
ID,2012,1,Globe,C1NGHTF03,9.155943064799999
ID,2012,1,Globe,C1NU00I00,13.917765124576052
ID,2012,1,Globe,C1NULWP00,5.0208387895296
ID,2012,1,Globe,C1OI00I00,77.3367501
ID,2012,1,Globe,C1OIHTF03,7.442775384056861
ID,2012,1,Globe,C1OIRFP00,37.51666923035713
ID,2012,2,Globe,C1OIRFP00,21.07224565003373
ID,2012,1,Globe,C1SOC1P00,0.00650382696
ID,2012,1,Globe,C1SOTHF00,0.561930649344
ID,2012,1,Globe,C1SOV1P00,0.3035119248
ID,2012,1,Globe,C1SOV2P00,0.2312471808
ID,2012,1,Globe,C1WDOFP00,0.004760801334719999
ID,2012,1,Globe,C1WDONP00,0.5551666693056
ID,2012,1,Globe,CEMPLANT,5.002830761218458
ID,2012,1,Globe,FERTPLANT,0.00019399045840016123
ID,2012,1,Globe,LA,2546.2949190251766
ID,2012,1,Globe,LA1,762.3949190251765
ID,2012,1,Globe,LA1_i,183.9
ID,2012,1,Globe,LA1_i_PROD,183.9
ID,2012,1,Globe,LA1_PROD,762.3949190251765
ID,2012,1,Globe,LA2,1600.0
ID,2012,1,Globe,LA2_PROD,1600.0
ID,2012,1,Globe,LandRes,6163.320419025175
ID,2012,1,Globe,LF,1833.2000000000005
ID,2012,1,Globe,LF1,588.9155
ID,2012,1,Globe,LF2,1244.2845
ID,2012,1,Globe,LF2_PROD,1244.2845000000002
ID,2012,1,Globe,LO,1783.8254999999986
ID,2012,1,Globe,MFOOFACTOR,2.807098944438
ID,2012,1,Globe,PAPPLANT,3.0734755119288106
ID,2012,1,Globe,PETAPLANT,4.698205812661971e-06
ID,2012,1,Globe,PETBPLANT,19.573062721098974
ID,2012,1,Globe,STEPLANT,13.277602808659125
ID,2012,1,Globe,VFOOFACTOR,33.02461304237502
ID,2012,1,Globe,XALUMINE,1.6935233070057285
ID,2012,1,Globe,XCEMMINE,21.001883535595088
ID,2012,1,Globe,XPHOMINE,6.207694668805159e-07
ID,2012,1,Globe,XPOTMINE,1.3579332088011287e-07
ID,2012,1,Globe,XSTEMINE,20.433367678343828
ID,2013,1,Globe,ALUPLANT,1.933817213103884
ID,2013,1,Globe,C1BFRDF00,0.2425407947151691
ID,2013,1,Globe,C1BMBRFH1,7.03321134837488
ID,2013,1,Globe,C1BMCHP00,0.369778695048
ID,2013,1,Globe,C1BMHTF03,3.06836103024
ID,2013,1,Globe,C1BMLP000,2.7372565801115747
ID,2013,1,Globe,C1CO00I00,65.33446889000001
ID,2013,1,Globe,C1COBRFH1,6.32171980512
ID,2013,1,Globe,C1COCHP00,1.07721585173088
ID,2013,1,Globe,C1COHTF03,22.652424490714296
ID,2013,1,Globe,C1COIGP00,0.010140558479999997
ID,2013,1,Globe,C1COSCP00,15.361873202984475
ID,2013,1,Globe,C1ELEFF00,38.37185760578834
ID,2013,1,Globe,C1GOCVP00,0.12024853401599998
ID,2013,1,Globe,C1GOHTF03,0.21823952687999998
ID,2013,1,Globe,C1HFGCPCH,0.8682608991600002
ID,2013,1,Globe,C1HFMRF00,41.79696
ID,2013,1,Globe,C1HTOOTFI,36.00119896077064
ID,2013,1,Globe,C1HTOOTFR,14.44816157067711
ID,2013,1,Globe,C1HYDMP00,5.590270808359775
ID,2013,1,Globe,C1HYMIP00,0.4015607294592
ID,2013,1,Globe,C1LFCCP00,0.24716752330046396
ID,2013,1,Globe,C1LFRDF00,9.0624242
ID,2013,1,Globe,C1NG00I00,51.82465566
ID,2013,1,Globe,C1NGBRFH1,2.639677280597083
ID,2013,1,Globe,C1NGBRFN1,5.7893827779189255
ID,2013,1,Globe,C1NGCCP00,7.038603779548472
ID,2013,1,Globe,C1NGCCPCH,1.1143121687908915
ID,2013,1,Globe,C1NGGCP00,1.085003852270799
ID,2013,1,Globe,C1NGGCPCH,3.5298113934097395
ID,2013,1,Globe,C1NGHTF03,7.966352164320002
ID,2013,1,Globe,C1NU00I00,1.342263726078434
ID,2013,1,Globe,C1NULWP00,0.48492186635781565
ID,2013,1,Globe,C1OI00I00,77.61205091
ID,2013,1,Globe,C1OIHTF03,7.496053401868718
ID,2013,1,Globe,C1OIRFP00,44.599776555764265
ID,2013,2,Globe,C1OIRFP00,13.906539583789641
ID,2013,1,Globe,C1SOC1P00,0.00650382696
ID,2013,1,Globe,C1SOTHF00,0.6104925573119998
ID,2013,1,Globe,C1SOV1P00,0.29845339272
ID,2013,1,Globe,C1SOV2P00,0.227778473088
ID,2013,1,Globe,C1WDOFP00,0.0047998242964800006
ID,2013,1,Globe,C1WDONP00,0.53515222580736
ID,2013,1,Globe,CEMPLANT,5.016686577432701
ID,2013,1,Globe,FERTPLANT,0.00019636595362926358
ID,2013,1,Globe,LA,2557.8827006305537
ID,2013,1,Globe,LA1,773.9827006305537
ID,2013,1,Globe,LA1_i,183.9
ID,2013,1,Globe,LA1_i_PROD,183.9
