REGION,FUEL,TIMESLICE,YEAR,VALUE
Globe,C1_F_HEA_R,ID,2052,0.4583
Globe,C1_F_HEA_R,ID,2053,0.4583
Globe,C1_F_HEA_R,ID,2054,0.4583
Globe,C1_F_HEA_R,ID,2055,0.4583
Globe,C1_F_HEA_R,ID,2056,0.4583
Globe,C1_F_HEA_R,ID,2057,0.4583
Globe,C1_F_HEA_R,ID,2058,0.4583
Globe,C1_F_HEA_R,ID,2059,0.4583
Globe,C1_F_HEA_R,ID,2060,0.4583
Globe,C1_F_HEA_R,IN,2010,0.4583
Globe,C1_F_HEA_R,IN,2011,0.4583
Globe,C1_F_HEA_R,IN,2012,0.4583
Globe,C1_F_HEA_R,IN,2013,0.4583
Globe,C1_F_HEA_R,IN,2014,0.4583
Globe,C1_F_HEA_R,IN,2015,0.4583
Globe,C1_F_HEA_R,IN,2016,0.4583
Globe,C1_F_HEA_R,IN,2017,0.4583
Globe,C1_F_HEA_R,IN,2018,0.4583
Globe,C1_F_HEA_R,IN,2019,0.4583
Globe,C1_F_HEA_R,IN,2020,0.4583
Globe,C1_F_HEA_R,IN,2021,0.4583
Globe,C1_F_HEA_R,IN,2022,0.4583
Globe,C1_F_HEA_R,IN,2023,0.4583
Globe,C1_F_HEA_R,IN,2024,0.4583
Globe,C1_F_HEA_R,IN,2025,0.4583
Globe,C1_F_HEA_R,IN,2026,0.4583
Globe,C1_F_HEA_R,IN,2027,0.4583
Globe,C1_F_HEA_R,IN,2028,0.4583
Globe,C1_F_HEA_R,IN,2029,0.4583
Globe,C1_F_HEA_R,IN,2030,0.4583
Globe,C1_F_HEA_R,IN,2031,0.4583
Globe,C1_F_HEA_R,IN,2032,0.4583
Globe,C1_F_HEA_R,IN,2033,0.4583
Globe,C1_F_HEA_R,IN,2034,0.4583
Globe,C1_F_HEA_R,IN,2035,0.4583
Globe,C1_F_HEA_R,IN,2036,0.4583
Globe,C1_F_HEA_R,IN,2037,0.4583
Globe,C1_F_HEA_R,IN,2038,0.4583
Globe,C1_F_HEA_R,IN,2039,0.4583
Globe,C1_F_HEA_R,IN,2040,0.4583
Globe,C1_F_HEA_R,IN,2041,0.4583
Globe,C1_F_HEA_R,IN,2042,0.4583
Globe,C1_F_HEA_R,IN,2043,0.4583
Globe,C1_F_HEA_R,IN,2044,0.4583
Globe,C1_F_HEA_R,IN,2045,0.4583
Globe,C1_F_HEA_R,IN,2046,0.4583
Globe,C1_F_HEA_R,IN,2047,0.4583
Globe,C1_F_HEA_R,IN,2048,0.4583
Globe,C1_F_HEA_R,IN,2049,0.4583
Globe,C1_F_HEA_R,IN,2050,0.4583
Globe,C1_F_HEA_R,IN,2051,0.4583
Globe,C1_F_HEA_R,IN,2052,0.4583
Globe,C1_F_HEA_R,IN,2053,0.4583
Globe,C1_F_HEA_R,IN,2054,0.4583
Globe,C1_F_HEA_R,IN,2055,0.4583
Globe,C1_F_HEA_R,IN,2056,0.4583
Globe,C1_F_HEA_R,IN,2057,0.4583
Globe,C1_F_HEA_R,IN,2058,0.4583
Globe,C1_F_HEA_R,IN,2059,0.4583
Globe,C1_F_HEA_R,IN,2060,0.4583
Globe,C1_F_HEA_R,IP,2010,0.0834
Globe,C1_F_HEA_R,IP,2011,0.0834
Globe,C1_F_HEA_R,IP,2012,0.0834
Globe,C1_F_HEA_R,IP,2013,0.0834
Globe,C1_F_HEA_R,IP,2014,0.0834
Globe,C1_F_HEA_R,IP,2015,0.0834
Globe,C1_F_HEA_R,IP,2016,0.0834
Globe,C1_F_HEA_R,IP,2017,0.0834
Globe,C1_F_HEA_R,IP,2018,0.0834
Globe,C1_F_HEA_R,IP,2019,0.0834
Globe,C1_F_HEA_R,IP,2020,0.0834
Globe,C1_F_HEA_R,IP,2021,0.0834
Globe,C1_F_HEA_R,IP,2022,0.0834
Globe,C1_F_HEA_R,IP,2023,0.0834
Globe,C1_F_HEA_R,IP,2024,0.0834
Globe,C1_F_HEA_R,IP,2025,0.0834
Globe,C1_F_HEA_R,IP,2026,0.0834
Globe,C1_F_HEA_R,IP,2027,0.0834
Globe,C1_F_HEA_R,IP,2028,0.0834
Globe,C1_F_HEA_R,IP,2029,0.0834
Globe,C1_F_HEA_R,IP,2030,0.0834
Globe,C1_F_HEA_R,IP,2031,0.0834
Globe,C1_F_HEA_R,IP,2032,0.0834
Globe,C1_F_HEA_R,IP,2033,0.0834
Globe,C1_F_HEA_R,IP,2034,0.0834
Globe,C1_F_HEA_R,IP,2035,0.0834
Globe,C1_F_HEA_R,IP,2036,0.0834
Globe,C1_F_HEA_R,IP,2037,0.0834
Globe,C1_F_HEA_R,IP,2038,0.0834
Globe,C1_F_HEA_R,IP,2039,0.0834
Globe,C1_F_HEA_R,IP,2040,0.0834
Globe,C1_F_HEA_R,IP,2041,0.0834
Globe,C1_F_HEA_R,IP,2042,0.0834
Globe,C1_F_HEA_R,IP,2043,0.0834
Globe,C1_F_HEA_R,IP,2044,0.0834
Globe,C1_F_HEA_R,IP,2045,0.0834
Globe,C1_F_HEA_R,IP,2046,0.0834
Globe,C1_F_HEA_R,IP,2047,0.0834
Globe,C1_F_HEA_R,IP,2048,0.0834
Globe,C1_F_HEA_R,IP,2049,0.0834
Globe,C1_F_HEA_R,IP,2050,0.0834
Globe,C1_F_HEA_R,IP,2051,0.0834
Globe,C1_F_HEA_R,IP,2052,0.0834
Globe,C1_F_HEA_R,IP,2053,0.0834
Globe,C1_F_HEA_R,IP,2054,0.0834
Globe,C1_F_HEA_R,IP,2055,0.0834
Globe,C1_F_HEA_R,IP,2056,0.0834
Globe,C1_F_HEA_R,IP,2057,0.0834
Globe,C1_F_HEA_R,IP,2058,0.0834
Globe,C1_F_HEA_R,IP,2059,0.0834
Globe,C1_F_HEA_R,IP,2060,0.0834
